morpheme,type,case,number,perPoss,numbPoss,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrec,sources
vut,tn,nom,p,1,p,kput,n,,* kput,i(i),,* kput,s,,* put,s n,,,H2
tta,tn,gen,s,1,p,pta,n,,* pta,i(i),,* pta,s,,* pta,s,,,H2
tta,tn,gen,d,1,p,pta kta,allV,x,* pta kta,iallV(i),,* pta kta,sallV,x,* pta kta,sallV,x,,H2
tta,tn,gen,p,1,p,pta,n,,* pta,i(i),,* pta,s,,* pta,s,,,H2
ttinnik,tn,acc,s,1,p,ptingnik ttingnik,n,,* ptingnik ttingnik,i(i),,* ptingnik ttingnik,s,,* ptingnik ttingnik,s,,,H2
ttinnik,tn,acc,d,1,p,ptingnik ttingnik,allV,x,* ptingnik ttingnik,iallV(i),,* ptingnik ttingnik,sallV,x,* ptingnik ttingnik,sallV,x,,H2
ttinnik,tn,acc,p,1,p,ptingnik ttingnik,n,,* ptingnik ttingnik,i(i),,* ptingnik ttingnik,s,,* ptingnik ttingnik,s,,,H2
ttinnut,tn,dat,s,1,p,ptingnut ttingnut,n,,* ptingnut ttingnut,i(i),,* ptingnut ttingnut,s,,* ptingnut ttingnut,s,,,H2
ttinnut,tn,dat,d,1,p,ptingnut ttingnut,allV,x,* ptingnut ttingnut,iallV(i),,* ptingnut ttingnut,sallV,x,* ptingnut ttingnut,sallV,x,,H2
ttinnut,tn,dat,p,1,p,ptingnut ttingnut,n,,* ptingnut ttingnut,i(i),,* ptingnut ttingnut,s,,* ptingnut ttingnut,s,,,H2
ttinnit,tn,abl,s,1,p,ptingnit ttingnit,n,,* ptingnit ttingnit,i(i),,* ptingnit ttingnit,s,,* ptingnit ttingnit,s,,,H2
ttinnit,tn,abl,d,1,p,ptingnit ttingnit,allV,x,* ptingnit ttingnit,iallV(i),,* ptingnit ttingnit,sallV,x,* ptingnit ttingnit,sallV,x,,H2
ttinnit,tn,abl,p,1,p,ptingnit ttingnit,n,,* ptingnit ttingnit,i(i),,* ptingnit ttingnit,s,,* ptingnit ttingnit,s,,,H2
ttinni,tn,loc,s,1,p,ptingni ttingni,n,,* ptingni ttingni,i(i),,* ptingni ttingni,s,,* ptingni ttingni,s,,,H2
ttinni,tn,loc,d,1,p,ptingni ttingni,allV,x,* ptingni ttingni,iallV(i),,* ptingni ttingni,sallV,x,* ptingni ttingni,sallV,x,,H2
ttinni,tn,loc,p,1,p,ptingni ttingni,n,,* ptingni ttingni,i(i),,* ptingni ttingni,s,,* ptingni ttingni,s,,,H2
ttitut,tn,sim,s,1,p,ptitut,n,,* ptitut,i(i),,* ptitut,s,,* ptitut,s,,,H2
ttitut,tn,sim,d,1,p,ptitut,allV,x,* ptitut,iallV(i),,* ptitut,sallV,x,* ptitut,sallV,x,,H2
ttitut,tn,sim,p,1,p,ptitut,n,,* ptitut,i(i),,* ptitut,s,,* ptitut,s,,,H2
ttigut,tn,via,s,1,p,ptigut,n,,* ptigut,i(i),,* ptigut,s,,* ptigut,s,,,H2
ttigut,tn,via,d,1,p,ptigut,allV,x,* ptigut,iallV(i),,* ptigut,sallV,x,* ptigut,sallV,x,,H2
ttigut,tn,via,p,1,p,ptigut,n,,* ptigut,i(i),,* ptigut,s,,* ptigut,s,,,H2
it,tn,nom,s,2,s,,n,decap,,i(i),,,s,decap,,s,decap,,H2
kkik,tn,nom,d,2,s,,allV,x,,iallV(i),,,sallV,x,,sallV,x,,H2
tit,tn,nom,p,2,s,,n,,,i(i),,,s,,,s,,,H2
vit,tn,gen,s,2,s,kpit,n,,* kpit,i(i) s,,* kpit,s,,* pit,s n,,,H2
kpik,tn,gen,d,2,s,kkik vit kpit,allV,x,* kkik vit kpit,iallV(i),,* kkik vit kpit,sallV,x,* kkik vit kpit,sallV,x,,H2
tit,tn,gen,p,2,s,vit kpit,n,,* vit kpit,i(i),,* vit kpit,s,,* vit kpit,s,,,H2
nnik,tn,acc,s,2,s,ngnik,n,,* ngnik,i(i),,* ngnik,s,,* ngnik nik,s s nas,,,H2
nnik,tn,acc,d,2,s,ngnik,allV,x,* ngnik,iallV(i),,* ngnik,sallV,x,* ngnik,sallV,x,,H2
nnik,tn,acc,p,2,s,ngnik,n,,* ngnik,i(i),,* ngnik,s,,* ngnik,s,,,H2
nnut,tn,dat,s,2,s,ngnut,n,,* ngnut,i(i),,* ngnut,s,,* ngnut nut,s s nas,,,H2
nnut,tn,dat,d,2,s,ngnut,allV,x,* ngnut,iallV(i),,* ngnut,sallV,x,* ngnut,sallV,x,,H2
nnut,tn,dat,p,2,s,ngnut,n,,* ngnut,i(i),,* ngnut,s,,* ngnut,s,,,H2
nnit,tn,abl,s,2,s,ngnit,n,,* ngnit,i(i),,* ngnit,s,,* ngnit nit,s s nas,,,H2
nnit,tn,abl,d,2,s,ngnit,allV,x,* ngnit,iallV(i),,* ngnit,sallV,x,* ngnit,sallV,x,,H2
nnit,tn,abl,p,2,s,ngnit,n,,* ngnit,i(i),,* ngnit,s,,* ngnit,s,,,H2
nni,tn,loc,s,2,s,ngni,n,,* ngni,i(i),,* ngni,s,,* ngni ni,s s nas,,,H2
nni,tn,loc,d,2,s,ngni,allV,x,* ngni,iallV(i),,* ngni,sallV,x,* ngni,sallV,x,,H2
nni,tn,loc,p,2,s,ngni,n,,* ngni,i(i),,* ngni,s,,* ngni,s,,,H2
ttut,tn,sim,s,2,s,ktut,n,,* ktut,i(i),,* ktut,s,,* ktut,s,,,H2
ttut,tn,sim,d,2,s,ktut,allV,x,* ktut,iallV(i),,* ktut,sallV,x,* ktut,sallV,x,,H2
ttut,tn,sim,p,2,s,ktut ktitut,n,,* ktut ktitu,i(i),,* ktut ktitut,s,,* ktut ktitut,s,,,H2
kkut,tn,via,s,2,s,,n,,,i(i),,,s,,,s,,,H2
kkut,tn,via,d,2,s,,allV,x,,iallV(i),,,sallV,x,,sallV,x,,H2
ttigut,tn,via,p,2,s,ktigut,n,,* ktigut,i(i),,* ktigut,s,,* ktigut,s,,,H2
tik,tn,nom,s,2,d,sik,n,,* sik,i(i),,* sik,s,,* sik,s,,,H2
ttik,tn,nom,d,2,d,ssik ktik ksik,allV,x,* ssik ktik ksik,iallV(i),,* ssik ktik ksik,sallV,x,* ssik ktik ksik,sallV,x,,H2
tik,tn,nom,p,2,d,sik,n,,* sik,i(i),,* sik,s,,* sik,s,,,H2
ttik,tn,gen,s,2,d,ssik tsik,n,,* ssik tsik,i(i),,* ssik tsik,s,,* ssik tsik,s,,,H2
ttik,tn,gen,d,2,d,ssik ktik ksik tsik,allV,x,* ssik ktik ksik tsik,iallV(i),,* ssik ktik ksik tsik,sallV,x,* ssik ktik ksik tsik,sallV,x,,H2
ttik,tn,gen,p,2,d,ssik tsik,n,,* ssik tsik,i(i),,* ssik tsik,s,,* ssik tsik,s,,,H2
ttinnik,tn,acc,s,2,d,ssinnik ptingnik ssingnik tsingnik,n,,* ssinnik ptingnik ssingnik tsingnik,i(i),,* ssinnik ptingnik ssingnik tsingnik,s,,* ssinnik ptingnik ssingnik tsingnik,s,,,H2
ttinnik,tn,acc,d,2,d,ssinnik ptingnik ksingnik ktingnik,allV,x,* ssinnik ptingnik ksingnik ktingnik,iallV(i),,* ssinnik ptingnik ksingnik ktingnik,sallV,x,* ssinnik ptingnik ksingnik ktingnik,sallV,x,,H2
ttinnik,tn,acc,p,2,d,ssinnik ptingnik ssingnik tsingnik,n,,* ssinnik ptingnik ssingnik tsingnik,i(i),,* ssinnik ptingnik ssingnik tsingnik,s,,* ssinnik ptingnik ssingnik tsingnik,s,,,H2
ttinnut,tn,dat,s,2,d,ssinnut ptingnut ssingnut tsingnut,n,,* ssinnut ptingnut ssingnut tsingnut,i(i),,* ssinnut ptingnut ssingnut tsingnut,s,,* ssinnut ptingnut ssingnut tsingnut,s,,,H2
ttinnut,tn,dat,d,2,d,ssinnut ptingnut ksingnut ktingnut,allV,x,* ssinnut ptingnut ksingnut ktingnut,iallV(i),,* ssinnut ptingnut ksingnut ktingnut,sallV,x,* ssinnut ptingnut ksingnut ktingnut,sallV,x,,H2
ttinnut,tn,dat,p,2,d,ssinnut ptingnut ssingnut tsingnut,n,,* ssinnut ptingnut ssingnut tsingnut,i(i),,* ssinnut ptingnut ssingnut tsingnut,s,,* ssinnut ptingnut ssingnut tsingnut,s,,,H2
ttinnit,tn,abl,s,2,d,ssinnit ptingnit ssingnit tsingnit,n,,* ssinnit ptingnit ssingnit tsingnit,i(i),,* ssinnit ptingnit ssingnit tsingnit,s,,* ssinnit ptingnit ssingnit tsingnit,s,,,H2
ttinnit,tn,abl,d,2,d,ssinnit ptingnit ksingnit ktingnit,allV,x,* ssinnit ptingnit ksingnit ktingnit,iallV(i),,* ssinnit ptingnit ksingnit ktingnit,sallV,x,* ssinnit ptingnit ksingnit ktingnit,sallV,x,,H2
ttinnit,tn,abl,p,2,d,ssinnit ptingnit ssingnit tsingnit,n,,* ssinnit ptingnit ssingnit tsingnit,i(i),,* ssinnit ptingnit ssingnit tsingnit,s,,* ssinnit ptingnit ssingnit tsingnit,s,,,H2
ttinni,tn,loc,s,2,d,ssinni ptingni ssingni tsingni,n,,* ssinni ptingni ssingni tsingni,i(i),,* ssinni ptingni ssingni tsingni,s,,* ssinni ptingni ssingni tsingni,s,,,H2
ttinni,tn,loc,d,2,d,ssinni ptingni ksingni ktingni,allV,x,* ssinni ptingni ksingni ktingni,iallV(i),,* ssinni ptingni ksingni ktingni,sallV,x,* ssinni ptingni ksingni ktingni,sallV,x,,H2
ttinni,tn,loc,p,2,d,ssinni ptingni ssingni tsingni,n,,* ssinni ptingni ssingni tsingni,i(i),,* ssinni ptingni ssingni tsingni,s,,* ssinni ptingni ssingni tsingni,s,,,H2
ttiktut,tn,sim,s,2,d,ssiktut ptiktut tsiktut,n,,* ssiktut ptiktut tsiktut,i(i),,* ssiktut ptiktut tsiktut,s,,* ssiktut ptiktut tsiktut,s,,,H2
ttiktut,tn,sim,d,2,d,ssiktut ptiktut ksiktut ktiktut,allV,x,* ssiktut ptiktut ksiktut ktiktut,iallV(i),,* ssiktut ptiktut ksiktut ktiktut,sallV,x,* ssiktut ptiktut ksiktut ktiktut,sallV,x,,H2
ttiktut,tn,sim,p,2,d,ssiktut ptiktut tsiktut,n,,* ssiktut ptiktut tsiktut,i(i),,* ssiktut ptiktut tsiktut,s,,* ssiktut ptiktut tsiktut,s,,,H2
ttikkut,tn,via,s,2,d,ssikkut ptikkut tsikkut,n,,* ssikkut ptikkut tsikkut,i(i),,* ssikkut ptikkut tsikkut,s,,* ssikkut ptikkut tsikkut,s,,,H2
ttikkut,tn,via,d,2,d,ssikkut ptikkut ksikkut ktikkut,allV,x,* ssikkut ptikkut ksikkut ktikkut,iallV(i),,* ssikkut ptikkut ksikkut ktikkut,sallV,x,* ssikkut ptikkut ksikkut ktikkut,sallV,x,,H2
ttikkut,tn,via,p,2,d,ssikkut ptikkut tsikkut,n,,* ssikkut ptikkut tsikkut,i(i),,* ssikkut ptikkut tsikkut,s,,* ssikkut ptikkut tsikkut,s,,,H2
si,tn,nom,s,2,p,,n,,,i(i),,,s,,,s,,,H2
ssi,tn,nom,d,2,p,ksi si,allV,x,* ksi si,iallV(i),,* ksi si,sallV,x,* ksi si,sallV,x,,H2
si,tn,nom,p,2,p,,n,,,i(i),,,s,,,s,,,H2
ssi,tn,gen,s,2,p,psi tsi,n,,* psi tsi,i(i),,* psi tsi,s,,* psi tsi,s,,,H2
ssi,tn,gen,d,2,p,ksi,allV,x,* ksi,iallV(i),,* ksi,sallV,x,* ksi,sallV,x,,H2
ssi,tn,gen,p,2,p,psi tsi,n,,* psi tsi,i(i),,* psi tsi,s,,* psi tsi,s,,,H2
ssinnik,tn,acc,s,2,p,psingnik tsingnik,n,,* psingnik tsingnik,i(i),,* psingnik tsingnik,s,,* psingnik tsingnik,s,,,H2
ssinnik,tn,acc,d,2,p,psingnik tsingnik,allV,x,* psingnik tsingnik,iallV(i),,* psingnik tsingnik,sallV,x,* psingnik tsingnik,sallV,x,,H2
ssinnik,tn,acc,p,2,p,psingnik tsingnik,n,,* psingnik ptingnik tsingnik,i(i),,* psingnik tsingnik,s,,* psingnik tsingnik,s,,,H2
ssinnut,tn,dat,s,2,p,psingnut tsingnut,n,,* psingnut tsingnut,i(i),,* psingnut tsingnut,s,,* psingnut tsingnut,s,,,H2
ssinnut,tn,dat,d,2,p,psingnut tsingnut,allV,x,* psingnut tsingnut,iallV(i),,* psingnut tsingnut,sallV,x,* psingnut tsingnut,sallV,x,,H2
ssinnut,tn,dat,p,2,p,psingnut tsingnut,n,,* psingnut tsingnut,i(i),,* psingnut tsingnut,s,,* psingnut tsingnut,s,,,H2
ssinnit,tn,abl,s,2,p,psingnit tsingnit,n,,* psingnit tsingnit,i(i),,* psingnit tsingnit,s,,* psingnit tsingnit,s,,,H2
ssinnit,tn,abl,d,2,p,psingnit tsingnit,allV,x,* psingnit tsingnit,iallV(i),,* psingnit tsingnit,sallV,x,* psingnit tsingnit,sallV,x,,H2
ssinnit,tn,abl,p,2,p,psingnit tsingnit,n,,* psingnit tsingnit,i(i),,* psingnit tsingnit,s,,* psingnit tsingnit,s,,,H2
ssinni,tn,loc,s,2,p,psingni tsingni,n,,* psingni tsingni,i(i),,* psingni tsingni,s,,* psingni tsingni,s,,,H2
ssinni,tn,loc,d,2,p,psingni tsingni,allV,x,* psingni tsingni,iallV(i),,* psingni tsingni,sallV,x,* psingni tsingni,sallV,x,,H2
ssinni,tn,loc,p,2,p,psingni tsingni,n,,* psingni tsingni,i(i),,* psingni tsingni,s,,* psingni tsingni,s,,,H2
ssitut,tn,sim,s,2,p,psitut tsitut,n,,* psitut tsitut,i(i),,* psitut tsitut,s,,* psitut tsitut,s,,,H2
ssitut,tn,sim,d,2,p,psitut tsitut,allV,x,* psitut tsitut,iallV(i),,* psitut tsitut,sallV,x,* psitut tsitut,sallV,x,,H2
ssitut,tn,sim,p,2,p,psitut tsitut,n,,* psitut tsitut,i(i),,* psitut tsitut,s,,* psitut tsitut,s,,,H2
ssigut,tn,via,s,2,p,psigut tsigut,n,,* psigut tsigut,i(i),,* psigut tsigut,s,,* psigut tsigut,s,,,H2
ssigut,tn,via,d,2,p,psigut tsigut,allV,x,* psigut tsigut,iallV(i),,* psigut tsigut,sallV,x,* psigut tsigut,sallV,x,,H2
ssigut,tn,via,p,2,p,psigut tsigut,n,,* psigut tsigut,i(i),,* psigut tsigut,s,,* psigut tsigut,s,,,H2
ni,tn,nom,s,3,s,,n,,,i(i),,,s,,,s,,,H2
nni,tn,nom,d,3,s,ngni,allV,x,* ngni,iallV(i),,* ngni,sallV,x,* ngni,sallV,x,,H2
ni,tn,nom,p,3,s,,n,,,i(i),,,s,,,s,,,H2
mi,tn,gen,s,3,s,,n,,,i(i),,* mmi,s,,,nas,,,H2
mmi,tn,gen,d,3,s,ngmi,allV,x,* ngmi,iallV(i),,* ngmi,sallV,x,* ngmi,sallV,x,,H2
mi,tn,gen,p,3,s,,n,,,i(i),,* mmi,s,,,nas,,,H2
minik,tn,acc,s,3,s,,n,,,i(i),,,s,,,nas,,,H2
mminik,tn,acc,d,3,s,ngminik,allV,x,* ngminik,iallV(i),,* ngminik,sallV,x,* ngminik,sallV,x,,H2
minik,tn,acc,p,3,s,,n,,,i(i),,,s,,,nas,,,H2
minut,tn,dat,s,3,s,,n,,,i(i),,,s,,,nas,,,H2
mminut,tn,dat,d,3,s,ngminut,allV,x,* ngminut,iallV(i),,* ngminut,sallV,x,* ngminut,sallV,x,,H2
minut,tn,dat,p,3,s,,n,,,i(i),,,s,,,nas,,,H2
minit,tn,abl,s,3,s,,n,,,i(i),,,s,,,nas,,,H2
mminit,tn,abl,d,3,s,ngminit,allV,x,* ngminit,iallV(i),,* ngminit,sallV,x,* ngminit,sallV,x,,H2
minit,tn,abl,p,3,s,,n,,,i(i),,,s,,,nas,,,H2
mini,tn,loc,s,3,s,,n,,,i(i),,,s,,,nas,,,H2
mmini,tn,loc,d,3,s,ngmini,allV,x,* ngmini,iallV(i),,* ngmini,sallV,x,* ngmini,sallV,x,,H2
mini,tn,loc,p,3,s,,n,,,i(i),,,s,,,nas,,,H2
mitut,tn,sim,s,3,s,,n,,,i(i),,,s,,,nas,,,H2
mmitut,tn,sim,d,3,s,ngmitut,allV,x,* ngmitut,iallV(i),,* ngmitut,sallV,x,* ngmitut,sallV,x,,H2
mititut,tn,sim,p,3,s,,n,,,i(i),,,s,,,nas,,,H2
migut,tn,via,s,3,s,,n,,,i(i),,,s,,,nas,,,H2
mmigut,tn,via,d,3,s,ngmigut,allV,x,* ngmigut,iallV(i),,* ngmigut,sallV,x,* ngmigut,sallV,x,,H2
mitigut,tn,via,p,3,s,,n,,,i(i),,,s,,,nas,,,H2
tik,tn,nom,s,3,d,sik,n,,* sik,i(i),,* sik,s,,* sik,s,,,H2
ktik,tn,nom,d,3,d,ksik,allV,x,* ksik,iallV(i),,* ksik,sallV,x,* ksik,sallV,x,,H2
tik,tn,nom,p,3,d,sik,n,,* sik,i(i),,* sik,s,,* sik,s,,,H2
mik,tn,gen,s,3,d,,n,,,i(i),,* mmik,s,,,nas,,,H2
mmik,tn,gen,d,3,d,ngmik,allV,x,* ngmik,iallV(i),,* ngmik,sallV,x,* ngmik,sallV,x,,H2
mik,tn,gen,p,3,d,,n,,,i(i),,* mmik,s,,,nas,,,H2
minnik,tn,acc,s,3,d,mingnik,n,,* mingnik,i(i),,* mingnik,s,,* mingnik,nas,,,H2
mminnik,tn,acc,d,3,d,ngmingnik,allV,x,* ngmingnik,iallV(i),,* ngmingnik,sallV,x,* ngmingnik,sallV,x,,H2
minnik,tn,acc,p,3,d,mingnik,n,,* mingnik,i(i),,* mingnik,s,,* mingnik,nas,,,H2
minnut,tn,dat,s,3,d,mingnut,n,,* mingnut,i(i),,* mingnut,s,,* mingnut,nas,,,H2
mminnut,tn,dat,d,3,d,ngmingnut,allV,x,* ngmingnut,iallV(i),,* ngmingnut,sallV,x,* ngmingnut,sallV,x,,H2
minnut,tn,dat,p,3,d,mingnut,n,,* mingnut,i(i),,* mingnut,s,,* mingnut,nas,,,H2
minnit,tn,abl,s,3,d,mingnit,n,,* mingnit,i(i),,* mingnit,s,,* mingnit,nas,,,H2
mminnit,tn,abl,d,3,d,ngmingnit,allV,x,* ngmingnit,iallV(i),,* ngmingnit,sallV,x,* ngmingnit,sallV,x,,H2
minnit,tn,abl,p,3,d,mingnit,n,,* mingnit,i(i),,* mingnit,s,,* mingnit,nas,,,H2
minni,tn,loc,s,3,d,mingni,n,,* mingni,i(i),,* mingni,s,,* mingni,nas,,,H2
mminni,tn,loc,d,3,d,ngmingni,allV,x,* ngmingni,iallV(i),,* ngmingni,sallV,x,* ngmingni,sallV,x,,H2
minni,tn,loc,p,3,d,mingni,n,,* mingni,i(i),,* mingni,s,,* mingni,nas,,,H2
mittut,tn,sim,s,3,d,miktut,n,,* miktut,i(i),,* miktut,s,,* miktut,nas,,,H2
mmittut,tn,sim,d,3,d,ngmiktut,allV,x,* ngmiktut,iallV(i),,* ngmkitut,sallV,x,* ngmiktut,sallV,x,,H2
mittitut,tn,sim,p,3,d,miktitut,n,,* miktitut,i(i),,* miktitut,s,,* miktitut,nas,,,H2
mikkut,tn,via,s,3,d,,n,,,i(i),,,s,,,nas,,,H2
mmikkut,tn,via,d,3,d,ngmikkut,allV,x,* ngmikkut,iallV(i),,* ngmikkut,sallV,x,* ngmikkut,sallV,x,,H2
mittigut,tn,via,p,3,d,miktigut,n,,* miktigut,i(i),,* miktigut,s,,* miktigut,nas,,,H2
tik,tn,nom,s,3,p,sik,n,,* sik,i(i),,* sik,s,,* sik,s,,,H2
ktik,tn,nom,d,3,p,ksik,allV,x,* ksik,iallV(i),,* ksik,sallV,x,* ksik,sallV,x,,H2
tik,tn,nom,p,3,p,sik,n,,* sik,i(i),,* sik,s,,* sik,s,,,H2
mik,tn,gen,s,3,p,,n,,,i(i),,* mmik,s,,,nas,,,H2
mmik,tn,gen,d,3,p,ngmik,allV,x,* ngmik,iallV(i),,* ngmik,sallV,x,* ngmik,sallV,x,,H2
mik,tn,gen,p,3,p,,n,,,i(i),,* mmik,s,,,nas,,,H2
minnik,tn,acc,s,3,p,mingnik,n,,* mingnik,i(i),,* mingnik,s,,* mingnik,nas,,,H2
mminnik,tn,acc,d,3,p,ngmingnik,allV,x,* ngmingnik,iallV(i),,* ngmingnik,sallV,x,* ngmingnik,sallV,x,,H2
minnik,tn,acc,p,3,p,mingnik,n,,* mingnik,i(i),,* mingnik,s,,* mingnik,nas,,,H2
minnut,tn,dat,s,3,p,mingnut,n,,* mingnut,i(i),,* mingnut,s,,* mingnut,nas,,,H2
mminnut,tn,dat,d,3,p,ngmingnut,allV,x,* ngmingnut,iallV(i),,* ngmingnut,sallV,x,* ngmingnut,sallV,x,,H2
minnut,tn,dat,p,3,p,mingnut,n,,* mingnut,i(i),,* mingnut,s,,* mingnut,nas,,,H2
minnit,tn,abl,s,3,p,mingnit,n,,* mingnit,i(i),,* mingnit,s,,* mingnit,nas,,,H2
mminnit,tn,abl,d,3,p,ngmingnit,allV,x,* ngmingnit,iallV(i),,* ngmingnit,sallV,x,* ngmingnit,sallV,x,,H2
minnit,tn,abl,p,3,p,mingnit,n,,* mingnit,i(i),,* mingnit,s,,* mingnit,nas,,,H2
