morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,dialect,combination,root,rootNb,rootType,END
pirujaq,,1,n,,,,,,,,,meat cache; s.t. covered with stones,cache de viande; quelque chose couvert de pierres,,,piru,1,v,.
pitiksaq,,1,v,i,,,,,,nil,,to suddenly let go of s.t. held taut,laisser soudainement aller quelque chose qui était retenu fermement,,,,,,.
pitiksiliut,,1,n,,,,,,,,,screw-driver,tournevis,,,,,,.
pitiksitaq,,1,n,,,,,,,,,arrow quiver,carquois,,,,,,.
pitiksitaq,,2,n,,ana,,,,,,,pancreas,pancreas,,,,,,.
pitiktaq,,1,v,t,,,,,,,i/1vv,[-R]to /shoot at s.t. with bow and arrow,[-R]/tirer-sur qqn avec un arc et des flèches,,,,,,.
pitti,,1,v,i,,,,,,,,to compose a song or lyric,composer une chanson ou des paroles de chanson,,,pisiq,1,n,.
pitturluk,,1,v,i,,,,,,,,to walk lamely or with a defect,marcher en boitant,,,pisuk,1,v,.
piusibvik,,1,n,,,,,,,,,place to hold or put things; container or holder,endroit où on garde ou met des choses; contenant ou objet pour porter quelque chose,,,pi,1,n,.
puiji,,1,n,,zoo,,,,,,,any sea animal that pops its head out of the water,tout animal marin qui sort la tête de l'eau,,,pui,1,v,.
pujat,,1,v,i,a,,,,,,,"to be rancid and congealed, speaking of grease or oil; to be covered with rancid yellow grease","être rance et congelée, en parlant de graisse ou d'huile; être couvert de graisse rance jaune",,,puja,1,n,.
pujuulatti,,1,v,i,,,,,,,,to smoke tobacco,fumer du tabac,,,pujuq,1,n,.
pujuulattit,,1,n,,,,,,,,,smoking pipe; cigarette,pipe; cigarette,,,pujuq,1,n,.
pujuuq,,1,v,i,,,,,,,,to steam,dégager de la vapeur,,,pujuq,1,n,.
pukkuliut,,1,n,,,,,,,,,wood chisel,ciseau à bois,,,,,,.
pukuluk,,1,v,i,,,,,,nil,,to gobble or swallow s.t. whole,avaler quelque chose tout rond,,,pukuk,1,v,.
pullaujaq,,1,n,,,,,,,,,glass; s.t. made of glass,verre; quelque chose fait en verre,,,,,,.
punnirniq,,1,n,,,,,,,,,European pork-fat lard,lard de porc,,,,,,.
pusialuk,,1,n,,zoo,,,,,,,tiger; lion,tigre; lion,,,pusi,1,n,.
puurtaq,,1,n,,,,,,,,,filleted caribou meat wrapped in caribou skin,viande de caribou en filets enveloppée dans une peau de caribou,,,puuq,1,n,.
puurusiq,,1,n,,,,,,,,,food bag; shopping bag,sac d'épicerie; sac de magasinage,,,puuq,1,n,.
puurutaq,,1,n,,,,,,,,,large flat platter or tray,plateau ou plat large,,,puuq,1,n,.
puuttaq,,1,n,,,,,,,,,sealskin turned inside out holding oil and meat (ECHB),peau de phoque retournée pour converver de l'huile et de la viande (côte est Baie d'Hudson),,,puuq,1,n,.
puviakataq,,1,n,,,,,,,,,balloon,ballon,,,puviq,1,v,.
puviaq,,1,n,,,,,,,,,bird's crop,jabot d'oiseau,,,puvak,1,n,.
puvigaq,,1,n,,,,,,,,,balloon,ballon,,,puviq,1,v,.
puviksukaq,,1,v,i,,,,,,,,to make the characteristic noise of sled runners or others pulled or rolled over the snow,émettre le son caractéristique de patins de traîneau ou de quelque chose qui est tiré ou roulé sur la neige,,,,,,.
puviksulaaq,,1,v,i,,,,,,,,to make the characteristic noise of sled runners or others pulled or rolled over the snow,émettre le son caractéristique de patins de traîneau ou de quelque chose qui est tiré ou roulé sur la neige,,,,,,.
puviraq,,1,n,,,,,,,,,"ship's cabin, below-deck",cabine de bateau; pont inférieur,,,puviq,1,v,.
puvit,,1,v,i,a,,,,,,,to be swollen or puffed up,"être enflé, gonflé",,,puviq,1,v,.
qaggimiu,qaggimiuq,1,v,i,,,,,,,,"to feast, to make merry together","fêter, festoyer ensemble",,,qaggi,1,v,.
qaiqqaq,,1,v,t,,,,,,,si/1vv,"[-R]to /polish, /smooth, /plane s.t.","[-R]/polir, /lisser, /aplanir qqch.",,,qaiq,1,v,.
qairat,,1,v,i,a,,,,,,,to be smooth-surfaced,avoir une surface lisse,,,qaiq,1,v,.
qairusuk,,1,n,,,,,,,,,cave in granite or rock bluff or hill,grotte dans un mur ou une colline de roc ou de granit,,,qaiq,1,v,.
qajuutaq,,1,n,,ana,,,,,,,bump of the heel (N. Baffin),bosse du talon (Baffin nord),,,qajuq,1,n,.
qaksungabvik,,1,n,,,,,,,,,braid attached to parka on which the rope and buckles is fastened,ganse fixée au parka pour attacher la corde et les boucles,,,,,,.
qaksungaut,qaksungautik,1,n,,,,,,,,,(1) rope and buckles used to hold up hood of woman's parka (2) diamond-shaped object; diamond suit in pack of playing cards,(1) corde et boucles utilisées pour retenir le capuchon d'un parka de femme (2) objet en forme de diamant; cartes de carreau dans un jeu de cartes,,,,,,.
qala,,1,v,t,,,,,,,si/1vv,[T]to lay on top of s.o.; to smother s.o. by laying on him [P]to be lain upon or smothered by being lain upon,[T]être couché ou assis sur qqn; étouffer qqn en étant couché ou assis dessus[P]avoir quelqu'un couché ou assis sur soi; être étouffé par quelqu'un couché ou assis sur soi,,qaa/1n+?,,,,.
qalaiq,,1,v,i,,,,,,,,"to swirl or churn in bubbles, speaking of water","tourbillonner ou faire des remous en faisant des bulles, en parlant de l'eau",,,qalaaq,1,v,.
qaliarutaq,,1,n,,,,,,,,,piece of wood added to the top of the sled-runner points,pièce de bois ajoutée par-dessus les pointes des patins de traîneau,,,qaa,1,n,.
qalipaq,,1,n,,,,,,,,,top coat; outer covering,manteau,,,qaa,1,n,.
qalliniq,,1,n,,ana,,,,,,,"instep of foot, also of boot","coup-de-pied du pied, et aussi des bottes",,,qaa,1,n,.
qalliq,,1,n,,,,,,,,,the top one,celui sur le dessus,,,qaa,1,n,.
qalliq,,1,v,t,,,,,,,si/1vv,"to /cover, to /paint s.t.","/recouvrir, /peindre qqch.",,,qaa,1,n,.
qallut,qallutik,1,n,,,,,,,,,dipper or water dipper,louche,,,qaa,1,n,.
qalluti,,1,v,i,,,,,,,,"to go over the top of one's boots, speaking of the water","passer par-dessus le dessus des bottes, en parlant de l'eau",,,qaa,1,n,.
qapiartittuq,,1,n,,,,,,,,,mirage,mirage,,,,,,.
qaplunaaq,,1,n,,,,,,,,,white-man; European,homme blanc; Européen,,,qablu,1,n,.
qaplunaartaq,,1,n,,,,,,,,,thing of white-man or European manufacture,chose fabriquée par l'homme blanc ou européen,,,qablu,1,n,.
qaplunaarut,,1,n,,ana,,,,,,,Adam's apple,pomme d'Adam,,,qablu,1,n,.
qaplursuq,,1,v,i,,,,,,,,to blink,cligner des yeux,,,qablu,1,n,.
qarsaugaq,,1,n,,zoo,,,,,,,baby red-throat loon,caneton du huard à gorge rousse,,,,,,.
qat&apak,,1,n,,bot,,,,,,,perennial of barren lands,plante vivace des terres arides,,,qattik,1,v,.
qatigaq,,1,v,i,,,,,,,,"to show only one's back while floating on the water, speaking of the seal","ne montrer que le dos en flottant sur l'eau, en parlant du phoque",,,qatigak,1,n,.
qatigiijaq,,1,v,i,,,,,,,,"to sleep floating on the water, speaking of the seal","dormir en flottant à la surface de l'eau, en parlant du phoque",,,qatigak,1,n,.
qatigiq,,1,v,i,,,,,,,,to float with upper body or back out of the water,flotter avec le haut du corps ou le dos hors de l'eau,,,qatigak,1,n,.
qattaujaq,,1,n,,,,,,,,,oil drum,baril d'huile,,,qattaq,2,n,.
qattuaq,,1,n,,ana,,,,,,,bicep,bicep,,,qattik,1,v,.
qaukpat,,1,n,,,,,,,,,tomorrow (Baffin; ECHB),demain (Baffin; côte est Baie d'Hudson),,,qauk,1,v,.
qauma,qaumaq,1,v,i,a,,,,,,,"to be light, bright, illuminated","être clair, lumineux, illuminé",,,qauk,1,v,.
qaumalik,,1,n,,,,,,,,,Roman Catholic priest (Ungava; ECHB),prêtre catholique romain (Ungava; côte est Baie d'Hudson),,,qauk,1,v,.
qauqqarvik,,1,n,,,,,,,,,month of November,mois de novembre,,,qauk,1,v,.
qaurrit,,1,v,t,,,,,,,si/1vv,"[T]to knick s.t. (hand, arm, leg, etc.); to knock a piece of flesh out of s.t.[P]to be knicked (hand, arm, leg, etc.); to be knocked a piece of flesh out of[R]to knick oneself (hand, arm, leg, etc.); to knock a piece of one's own flesh","[T]arracher une morceau de peau de qqch. (main, bras, jambe, etc.)[P]avoir un morceau de peau arrachée (main, bras, jambe, etc.)[R]s'arracher un morceau de peau (main, bras, jambe, etc.)",,,qauq,1,v,.
qautamaat,,1,a,,,,,,,,,daily; every day,quotidiennement; chaque jour,,,qauk,1,v,.
qiajuq,,1,n,,,,,,,,,Evangelical Protestant (weeper),protestant évangéliste,,,qia,1,v,.
qiaksuk,,1,v,i,,,,,,,,"to howl, speaking of the wind","hurler, en parlant du vent",,,qia,1,v,.
qibliqijaq,,1,n,,,,,,,,,mica,mica,,,qibliq,1,v,.
qijuarjuk,,1,n,,,,,,,,,stick; board; small piece of wood,bâton; tableau; petite pièce de bois,,,qijuk,1,n,.
qijukkut,,1,n,,,,,,,,,box (WCHB),boîte (côte ouest Baie d'Hudson),,,qijuk,1,n,.
qijuksaq,,1,n,,,,,,,,,firewood,bois pour le feu,,,qijuk,1,n,.
qijuktaq,,1,n,,,,,,,,,wooden part of s.t. which is made of combination of materials,partie en bois de qqch. qui est fait de plusieurs matériaux,,,qijuk,1,n,.
qikirtaugaq,,1,n,,,,,,,,,small island; islet,petite île; îlot,,,qikirtaq,1,n,.
qikturiaq,,1,v,i,,,,,,,,"to bite, speaking of mosquito","piquer, en parlant d'un moustique",,,qikturiaq,1,n,.
qikturiilitaq,,1,n,,,,,,,,,mosquito net,filet à moustiques,,,qikturiaq,1,n,.
qikuktuq,,1,v,t,,,,,,,i/1vv,[-R]to /fuel s.t. (a stove or a fire),[-R]/alimenter qqch. (un four ou un feu),,,qijuk,1,n,.
qimirruaq,,1,n,,,,,,,,,"magazine, book, newspaper","magazine, livre, journal",,,qimirru,1,v,.
qimmirjuaq,qingmirjuaq,1,n,,zoo,,,,,,,horse,cheval,,,qimmiq,1,n,.
qinugi,,1,v,t,,,,,,,,to be impatient with or tired of the one begging for s.t. which is refused,être impatient ou fatigué envers quelqu'un qui demande quelque chose qu'on lui refuse,,,qinu,1,v,.
qiqit,,1,v,i,,,,,,,,"to freeze, speaking of a member or body part","geler, en parlant d'un membre ou d'une partie du corps",,,qiqi,1,v,.
qirnaksi,,1,v,i,,,,,,,,"to begin, speaking of the cold weather","commencer, en parlant du temps froid",,,qiqi,1,v,.
qirraq,,1,v,i,,,,,,,,to die from freezing or exposure,mourir de froid,,,qiqi,1,v,.
qisilik,,1,n,,,,,,,,,"shaman's word for ""jar seal""","mot du shaman pour ""phoque annelé""",,qisik/1n+lik/1nn,,,,.
qisiujaq,,1,n,,,,,,,,,leather (European manufacturer),cuir (fabrication européenne),,qisik/1n+u/1nv+jaq/3vn,,,,.
quajaqit,,1,v,i,,,,,,,,to slip on a slippery surface,glisser sur une surface glissante,,quajaq/1+?,,,,.
quarsaq,,1,v,i,,,,,,,,to freeze emotionally; to faint,"geler émotivement; se sentir mal, défaillir",,quaq/1v+saq/1vv,,,,.
quarta,,1,v,i,a,,,,,,,to have itchiness of the anus or rectum because of intestinal worms,avoir des démangeaisons à l'anus ou au rectum à cause de vers intestinaux,,quartaq/1n+?,,,,.
qubviuq,,1,v,i,a,,,,,,,to have watering eyes from smarting or irritation,"avoir les yeux humides dû à l'irritation ou à la douleur ou la fumée, etc.",,qubvik/1n+?,,,,.
qujannamiiq,,1,v,i,,,,,,nil,,to thank s.o.,"remercier, être reconnaissant",,quja/1v+naq/1vv+?,,,,.
qulaagulik,,1,n,,,,,,,,,helicopter,hélicoptère,,qula/1n+ngagut/tn-via-s-4s+lik/1nn,,,,.
qulaaq,,1,v,i,,,,,,gi/4vv,,to doubt someone or something,douter de quelqu'un ou de quelque chose,,,qula,1,v,.
qungasiniq,,1,n,,,,,,,,,neck,"coup-de-pied du pied, et aussi des bottes",,,qungasiq,1,n,.
qupannuarjuk,,1,n,,zoo,,,,,,,snow bunting; snowbird,bruant des neiges,,,qupannuaq,1,n,.
qupiqquaq,,1,n,,zoo,,,,,,,maggot; dung-fly worm,vers de mouche à merde; asticot,,,qupiqquq,1,n,.
ququarut,,1,n,,,,,,,,,trumpet; horn,trompette; cor,,,ququaq,1,v,.
saaliriji,,1,n,,,,,,,,,table waiter,serveur de table,,,saa,1,n,.
saat,,1,v,t,,,,,,,si/1vv,[T]to turn to face s.o. or s.t.[P]to be turned toward as to be faced,[T]se tourner vers qqn ou qqch. pour lui faire face[P]être dans l'état de qqn ou qqch. vers qui on se tourne pour lui faire face,,,saa,1,n,.
saaviniq,,1,n,,ana,,,,,,,chest or breast of seal or sea mammal,poitrine ou tétines d'un phoque ou d'un mammifère marin,,,saa,1,n,.
sagvik,,1,n,,ana,,,,,,,chest; human chest,poitrine; poitrine de l'humain,,,saa,1,n,.
sanngniq,,1,v,i,a,,,,,,,to have one's body or muscles stiff and sore from physical exertion,avoir le corsp ou les muscles raides et endoloris à cause de l'effort,,,sanngi,1,v,.
sarpiak,,1,n,,,,,,,,,tail of a whale,queue de la baleine,,,sarpik,1,n,.
sarrut,,1,v,i,,,,,,nil,,to go around the front of s.t.,faire le tour devant qqch.,,,saa,1,n,.
siaruut,,1,n,,,,,,,,,button,bouton,,,,,,.
siiqquaq,,1,n,,ana,,,,,,,knee-cap,rotule,,,siiqquq,1,n,.
singiktartuq,,1,n,,,,,,,,,pump-action rifle,fusil à pompe,,,,,,.
siqinirutik,,1,n,,,,,,,,,clock; watch (ECHB),horloge; montre (côte est Baie d'Hudson),,,siqiniq,1,n,.
siqirngujaq,,1,n,,,,,,,,,(1) magnifying glass (WCHB) (2) clock; watch (N. Baffin),(1) loupe grossissante (côte ouest Baie d'Hudson) (2) horloge; montre (Baffin nord),,,siqiniq,1,n,.
sirmiaq,,1,v,t,,,,,,,ri/1vv,[-R]to /cement s.t. with dampened snow,"[-R]/cimenter, /sceller qqch. avec de la neige humectée",,sirmiq/1n+aq/2nv,,,,.
sivataarvak,,1,n,,,,,,,,,Saturday (N. Baffin),samedi (Baffin nord),,,siva,1,n,.
sungu,,1,v,i,a,,,,,,,to be bilious; to be sick from rich or fatty food,avoir de la bile; être malade à cause de nourriture trop riche et grasse,,,sungaq,1,n,.
supuaq,,1,i,,,,,,,,,to puff or exhale air - said of a sea mammal,"souffler ou expirer l'air, en parlant d'un mammifère marin",,,supi,1,v,.
suputit,,1,n,,,p,,,,,,pussy-willow plant or leaves,saule blanc - arbre ou feuilles,,,supi,1,v,.
supuugaq,,1,n,,,,,,,,,"mouth-organ, harmonica [N. Baffin]",harmonica (Baffin nord),,,supi,1,v,.
supuugaq,,1,v,i,,,,,,,,"to play the mouth-organ, or harmonica [N. Baffin]",jouer de l'harmonica (Baffin nord),,,supi,1,v,.
supuujuuq,,1,n,,,,,,,,,primus stove (WCHB),réchaud Primus (côte ouest Baie d'Hudson),,,supi,1,v,.
supuuq,,1,v,i,,,,,,nil,,to blow at or on s.t. over an extended period of time,souffler sur quelque chose pendant une longue période de temps,,,supi,1,v,.
supuurtuut,supuurturut,1,n,,,,,,,,,smoking pipe [WCHB],pipe pour fumer (côte ouest Baie d'Hudson),,,supi,1,v,.
surpalak,,1,v,i,,,,,,,,"to purr, to putt-putt - said of a motor","ronronner, en parlant d'un moteur",,,surpalak,1,n,.
suuqaimma,,1,e,,,,,,,,,"exclamation of understanding: ""No wonder!"" ""It's not surprising""","exclamation : ""Ce n'est pas surprenant!""",,,suuq,1,a,.
taimait,,1,v,i,a,,,,,,,"to be like that, like the one shown or described (S. Baffin; ECHB)","être comme ça, comme celui montré ou décrit (Baffin nord; côte ouest Baie d'Hudson)",,taima/1a+it/3nv,,,,.
taimannait,,1,v,i,a,,,,,,,"to be like that, like the one shown or described (N. Baffin; WCHB)","être comme ça, comme celui montré ou décrit (Baffin nord; côte ouest Baie d'Hudson)",,taimanna/1a+it/3nv,,,,.
taitaq,,1,v,t,,,,,,,,[-R]to /spell s.t.,[-R]/épeller qqch.,,,tai,1,v,.
takpiktuq,,1,n,,,,,,,,,binoculars or telescope with powerful lense,jumelles ou télescope avec une lentille puissante,,,takpik,1,v,.
taliruaq,,1,n,,,,,,,,,fore-flipper of a walrus or whale,nageoire frontale du morse ou de la baleine,,,taliq,1,n,.
taliruq,,1,n,,,,,,,,,fore-flipper of a seal or square-flipper,nageoire frontale du phoque,,,taliq,1,n,.
tapit,,1,v,t,,,,,,,si/1vv,[-R]to /take or /get or /kill s.t. (two or more) at the same time,[-R]/attraper ou /tuer qqch. (deux ou plus) en même temps,,tapi/?+t/1vv,,,,.
taqqut,,1,n,,,,,,,,,wick tender,"""tender"" de mèche",,,taqqirsuq,1,v,.
tarrijaq,,1,v,i,,,,,,,,to attend or watch a movie,regarder un film,,,tarraq,1,n,.
tarrijaut,,1,n,,,,,,,,,movie projector,projecteur de film,,,tarraq,1,n,.
tatamnak,,1,v,i,a,,,,,,,to be astonishing or wonderful; miraculous,"être étonnant, surprenant, merveilleux; miraculeux",,,,,,.
tatiggarjuaq,,1,n,,zoo,,,,,,,sandhill crane,grue du Canada,,,tatiggaq,1,n,.
tauturannaq,,1,n,,,,,,,,,magazine; picture book; illustrated,magazine; livre d'images; illustré,,,tautuk,1,v,.
tibjaaluk,,1,n,,,,,,,,,(1) flotsam and jetsam; drift wood or wreckage which floats ashore (2) lure or bait for fish line,"(1) épave, débris flottant jusqu'au rivage (2) appât pour la ligne à pêche",,,tibjaq,1,n,.
tibjartaq,,1,n,,,,,,,,,flotsam or drift found on the shore or beach; things floated in with the tides,débris sur le rivage apportés par la marée,,,tibjaq,1,n,.
tibliq,,1,n,,,,,,,,,the more landward; the one higher up or further up on the land,plus à l'intérieur des terres; plus haut dans les terres,,,,,,.
tiglirtaq,,1,n,,ana,,,,,,,pulse; pulse point,pouls; point de vérification du pouls,,,tigliq,1,v,.
tiguarsi,,1,n,,,,,,,,,adopting parent; foster parent,parent adoptif,,,tiguaq,1,n,.
tigumiaq,,1,v,i,,,,,,nil,,to hold something in one's hands or arms,tenir quelque chose dans les mains ou les bras,,,tigu,1,v,.
tigummit,,1,n,,,,,,,,,tiller; steering handle or bar of engine,barre; manche de direction,,,tigu,1,v,.
tikaagut,,1,n,,,,,,,,,harpoon-line catch,"""catch"" de la ligne du harpon",,,,,,.
tikkuaq,,1,v,i,,,,,,nil,,to point at something,la pointe de quelque chose,,,tikiq,1,n,.
tikkuq,,1,v,i,a,,,,,,,to be straight,être droit,,,tikiq,1,n,.
tiksa,,1,v,i,,,,,,,,to erect - said of man's penis,être en érection - en parlant du pénis de l'homme,,,tikiq,1,n,.
tiktau,,1,v,i,a,,,,,,,to be blown by the wind or wafted by the waves,être soufflé par le vent ou les vagues,,,,,,.
timmuaq,timmuuq,1,v,i,,,,,,,,to have gone ashore,être débarqué sur le rivage,,,tima,1,n,.
tingmialaaq,,1,n,,zoo,,,,,,,birdling; baby bird,oisillon,,,tingmi,1,v,.
tingmiaq,,1,n,,zoo,,,,,,,bird,oiseau,,,tingmi,1,v,.
tingmiarniut,tingmiarsiut,1,n,,,,,,,,,shot-gun; gun for birds,fusil de chasse; fusil pour les oiseaux,,,tingmi,1,v,.
tingmisuuq,,1,n,,,,,,,,,airplane,avion,,,,,,.
tiqitturaq,,1,n,,zoo,,,,,,,small-sized or yearling bearded seal or squareflipper,"petit phoque barbu, ou phoque barbu bébé",,,tiqittuq,1,n,.
tiriganiaq,,1,v,i,,,,,,,,to catch a fox,attraper un renard,,,tiriganiaq,1,n,.
tirliaq,,1,v,t,,,,,,,si/1vv,[-R]to /take s.o. by stealth or unawares; to /stalk s.o. or /creep up on s.o.,[-R]/prendre qqn par surprise; /traquer ou /surprendre qqn,,,tirlik,1,v,.
tuaqatik,,1,n,,,,,,,,,companion; partner; associate,"compagnon, partenaire, associé",,,,,,.
tuavi,,1,e,,,,,,,,,"exclamation: ""hurry up!""",,,,tuaviq,1,v,.
tubvik,,1,n,,,,,,,,,place where s.t. hits or touches against s.t. else,endroit où qqchose entre en contact avec une autre chose,,,tut,1,v,.
tugliq,,1,n,,,,,,,,,"the next one, preceding or following","celui à côté, suivant ou précédent",,,tugli,1,n,.
tujjapik,,1,v,i,,,,,,,,to walk jarringly or blunderly,marcher  maladroitement,,,tut,1,v,.
tujjaq,,1,v,i,,,,,,,,to hurt the soles of one's feet on rought terrain - said of a dog,"se blesser la plante des pattes sur un sol rugueux, en parlant d'un chien",,,tut,1,v,.
tujurmiaq,,1,n,,,,,,,,,lodger; (hotel) guest,client d'hôtel,,,tujurmi,1,v,.
tujurmivik,,1,n,,,,,,,,,hotel,hotel,,,tujurmi,1,v,.
tukaq,,1,v,t,,,,,,,si/1vv,"[T]to stamp, stomp, tread, tramp upon s.t. repeatedly[P]to be trod, trampled, or stomped; rested upon; pushed by sole of someone's foot, repeatedly[R]to tread, tramp, or stomp; rest upon; push on something  with one's foot's sole, repeatedly","[T]piétiner, pousser qqch. du pied de façon répétée[P]être piétiné, poussé du pied de façon répétée[R]piétiner de façon répétée",,,tukiq,1,v,.
tulugarjuaq,,1,n,,zoo,,,,,,,raven,corbeau,,,tulugaq,1,n,.
tulugarnaq,,1,n,,zoo,,,,,,,small species of white owl,petite espèce de hibou blanc,,,tulugaq,1,n,.
tumangijaq,,1,v,i,,,,,,,,to have lost the tracks or footprints temporarily but have found them again,"avoir perdu la trace d'un gibier, d'une personne ou d'un véhicule temporairement et l'avoir retrouvée",,,tumi,1,n,.
tumanngii,,1,v,i,,,,,,,,"to have lost the track or prints of the game, people or vehicle irretrievably","avoir perdu la trace d'un gibier, d'une personne ou d'un véhicule irrémédiablement",,,tumi,1,n,.
