morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
aluk,,1,v,i,,,,,,nil,,to spoon (trans.: s.t.) into one's mouth,porter (trans.: qqch.) à sa bouche avec une cuillère,,,,.
aluq,,2,n,,,,,,,,,bottom of sled runner,dessous de patin de traîneau,,,,.
aluq,,1,n,,ana,,,,,,,sole of foot,semelle de botte,,,,.
amaama,,1,n,,,,,,,,,milk of the female breast,lait du sein de la femme,,,,.
amaq,,1,n,,,,,,,,,baby carried in parka hood,bébé porté dans le capuchon d'un parka,,,,.
amaruq,,1,n,,zoo,,,,,,,arctic wolf,loup polaire,,,,.
amaujaq,,1,n,,,,,,,,,dorsal fin of fish,nageoire dorsale d'un poisson,,,,.
amauligaq,amaulligaq,1,n,,zoo,,,,,,,snow bunting,bruant des neiges,,,,.
amaulik,,1,n,,zoo,,,,,,,male of common eider duck,mâle de l'eider commun,,,,.
amauq,,1,n,,,,,,,,,great grandfather,arrière-grand-père,,,,.
amiakku,,1,n,,,,,,,,,remainder,,,,,
amiliraq,,1,n,,ana,,,,,,,radius or narrowest forearm bone,radius - os le plus mince de l'avant-bras,,,,.
amiq,,1,v,t,,,,,,,i/1vv,to /cover s.t. with skin,/couvrir qqch. avec une peau,,,,.
amiq,,1,n,,ana,,,,,,,skin (human or animal),peau (humaine ou animale),,,,.
amiqqaaq,,1,v,i,,,,,,,,to take turns at using the same article or thing,se servir à son tour d'un même article,,,,.
amirlak,,1,n,,zoo,,,,,,,lemming in white winter coat,lemming avec son pelage blanc d'hiver,,,,.
amisu,,1,n,,nb,,,,,,,"concept of plural: many things, persons...","concept de pluriel: plusieurs choses, personnes, ...",,,,.
amit,,1,v,i,a,,,,,,,to be narrow,être étroit,,,,.
amma,,1,c,,,,,,,,,and,et,,,,.
ammut,,1,a,,dat,,,,,,,downward,vers le bas,,,,.
anaana,,1,n,,,,,,,,,mother,mère,,,,.
anaq,,1,v,i,,,,,,,,to shit,chier,,,,.
anaq,,1,n,,,,,,,,,shit,,,,,
anau,anauk,1,v,t,,,,,,,si/1vv,to /hit or /beat s.t. with a stick,/frapper qqch. avec un bâton,,,,.
angaju,,1,n,,,,,,,,,elder brother of a man,,,,,
angakkuq,,1,n,,,,,,,,,shaman,shaman,,,,.
angaluk,,1,n,,,,,,,,,shaman's belt,ceinture du shaman,,,,.
angasaq,,1,n,,zoo,,,,,,,cross fox,renard roux à bande noire,,,,.
angi,,1,v,i,a,,,,,,,to be big,être gros,,,,.
angiq,,1,v,i,,,,,,nil,,to say yes,,,,,
angiqqaq,,1,v,i,,,,,,,,to arrive home,arriver à la maison,,,,.
angiqqaq,,1,n,,,,,,,,,home,maison (dans le sens de foyer),,,,.
angmaak,,1,n,,,,,,,,,flint,,,,,
angmaluq,,1,v,i,a,,,,,,,"to be round, circular, oval","être rond, circulaire, ovale",,,,.
angmaq,,1,v,i,a,,,,,,,to be punctured or ripped,,,,,
angmaqquq,,1,v,i,,,,,,,,to travel with the wind on one's side,voyager avec le vent sur le côté,,,,.
angu,,1,v,t,,,,,,,si/1vv i/1vv,[-R](1) to /overtake and /kill s.t. (an animal or quarry) (2) to /catch up with s.o. or s.t.,,,,,
angua,anguaq,1,v,i,,,,,,,,to propel oneself through the water with one's arms,se propulser dans l'eau à l'aide de ses bras,,,,.
angula,,1,v,i,,,,,,nil,,to chew s.t. in order to soften it,mâcher qqch. pour le ramollir,,,,.
anguq,,1,v,i,,,,,,,,to pronounce a word,prononcer un mot,,,,.
angut,,1,n,,,,,,,,,man,,,,,
angutiri,,1,v,i,,,,,,,,to object,,,,,
anguuq,,1,v,i,,,,,,,,to relieve oneself in one's pants,se soulager dans ses pantalons,,,,.
ani,,1,v,i,,,,,,,,to go out,sortir,,,,.
ani,,1,n,,,,,,,,,brother of a woman,frère d'une femme,,,,.
aniq,,1,v,i,,,,,,,,to breath,,,,,
anirta,anirsa,1,e,,,,,,,,,exclamation of relief: 'Thank goodness!',exclamation de soulagement: 'Merci Seigneur!',,,,.
aniuk,,1,n,,,,,,,,,snow used for drinking water,neige utilisée pour boire de l'eau,,,,.
annak,,1,v,i,,,,,,,,"to get away, speaking of an animal or quarry","se sauver (animal, proie)",,,,.
anngak,,1,n,,,,,,,,,maternal uncle,oncle maternel,,,,.
anngik,,1,v,i,,,,,,,,"to deceive, to keep in the dark","tromper, duper",,,,
anngiujaq,,1,n,,,,,,,,,"head of a nail, bolt, or screw","tête d'un clou, d'un boulon, d'une vis",,,,.
anniq,,1,v,i,e,,,,ksaq/1vv gusuk/1vv,gi/4vv,,to treasure s.t.,,,,,
annuraaq,,1,v,t,,,,,,,si/1vv,to /dress s.o.,,,,,
annuraaq,,1,n,,,,,,,,,piece of clothing,morceau d'habit,,,,.
anuk,anu,1,v,t,,,,,,,si/1vv,[-R]to harness s.t. (an animal),[-R]/harnacher qqch. (un animal),,,,.
anuk,,1,n,,,,,,,,,dog harness,harnais de chien,,,,.
anuri,,1,v,i,,,,,,,,"to blow, speaking of the wind",souffler (vent),,,,.
anuri,,1,n,,,,,,,,,wind,vent,,,,.
anut,,1,v,i,a,,,,,,,to be solemn,,,,,
apa,,1,n,,zoo,,,,,,,hooded seal,phoque à capuchon,,,,.
apaapa,,1,n,,,,,,,,,food,nourriture,,,,.
api,,1,v,i,a,,,,,,,to be covered with snow,être couvert de neige,,,,.
apiq,,1,v,t,,,,,,,si/1vv,to /ask s.o. a question,/poser-à qqn une question,,,,.
apqut,,1,n,,,,,,,,,path,,,,,
apsaq,,1,v,i,,,,,,,,to thud,,,,,
aptiq,,1,v,t,,,,,,,i/1vv,to /scatter or /strew s.t. about,"/répandre, /éparpiller qqch.",,,,.
apuq,,1,v,t,,,,,,,i/1vv si/1vv,[-R]to meet with s.t.,,,,,
aput,,1,n,,,,,,,,,snow,neige,,,,.
aqagu,,1,a,,,,,,,,,tomorrow,demain,,,,.
aqaq,,1,v,i,,,,,,,,to dandle or play with baby on one's knee,faire sauter un bébé sur ses genoux,,,,.
aqi,,1,v,t,,,,,,,si/1vv,to /kick s.t.,/frapper qqn avec le pied,,,,.
aqiamuk,,1,n,,,,,,,,,fish belly,ventre de poisson,,,,.
aqiaruq,,1,n,,ana,,,,,,,stomach,,,,,
aqiggiq,,1,n,,zoo,,,,,,,rock ptarmigan,lagopède alpin,,,,.
aqiqquq,,1,n,,,,,,,,,lead point of bullet,pointe en plomb d'une balle,,,,.
aqit,,1,v,i,a,,,,,,,to be soft or mushy in texture,être mou ou en bouillie par rapport à la texture,,,,.
aqqaq,,1,v,t,,,,,,,i/1vv,[-R]to /take s.t. down out of sight,,,,,
aqu,,1,n,,,,,,,,,stern of boat,"arrière, poupe d'un bateau",,,,.
aqut,,1,v,i,,,,,,nil,,to steer s.t. (a boat),,,,,
ariu,,1,v,i,a,,,,,,,to be rejected by a loved one,être rejeté par une personne aimée,,,,.
arjaq,ajjaq,1,v,t,,,,,,,si/1vv,[-R]to /carry s.t. in the arms,[-R]/porter qqch. dans les bras,,,,.
arjaq,ajjaq,1,n,,,,,,,,,gunpowder,poudre à canon,,,,.
arnaq,,1,n,,,,,,,,,woman,,,,,
arngili,,1,v,i,a,,,,,,,to be hit in the midriff,,,,,
arnguaq,,1,n,,,,,,,,,amulet,,,,,
arpak,,1,v,i,,,,,,,,to run,courir,,,,.
arpik,,1,n,,bot,,,,,,,arctic raspberry,framboise arctique,,,,.
arraagu,,1,n,,,,,,,,,the next year,l'année prochaine,,,,
arraani,,1,n,,,,,,,,,the past year,l'année précédente,,,,
arraaq,,1,n,,,,,,,,,afterbirth,placenta,,,,.
arsaaq,,1,v,t,,,,,,,si/1vv,[-R]to /snatch s.t.,,,,,
arsaq,,1,v,i,,,,,,,,to play football,jouer au ballon avec les pieds,,,,.
arsaq,,1,n,,,,,,,,,football,football,,,,.
arsi,,1,v,i,a,,,,,,,to be prosperous,,,,,
artuq,,1,n,,,,,,,,,bird too fat to fly,oiseau trop gras pour voler,,,,.
arvakkut,,1,a,,via,,,,,,,to the right side,sur le côté droit,,,,.
arvaq,,1,n,,,,,,,,,extreme curved end of snow-knife handle,bout extrême recourbé d'un manche de couteau à neige,,,,.
arvinilit,,1,n,,,,,,,,,six,,,,,
arvininngat,,1,n,,,,,,,,,the sixth one,le sixième,,,,.
arviq,,1,n,,zoo,,,,,,,right or Greenland whale,baleine boréale,,,,.
asi,,1,n,,,,,,,,,the other one,,,,,
asiu,,1,v,i,a,,,,,,,to be mislaid or temporarily lost,"être égaré, temporairement perdu",,,,.
asivaq,,1,v,i,,,,,,,,to go out on the land for hunting,aller sur la terre à la chasse,,,,.
assak,,1,n,,,,,,,,,paternal aunt,tante paternelle,,,,.
assiniq,,1,n,,,,,,,,,seam across shoulder of atigi,couture à travers l'épaule d'un atigi,,,,.
assuk,,1,e,,,,,,,,,disclaimer: 'I don't know (I don't want to say)',"expression de négation: ""je ne sais pas (je ne veux pas le dire)""",,,,.
assungiq,,1,v,t,,,,,,,si/1vv i/1vv,to /fasten or /tie s.t. firmly,/attacher qqch. fermement,,,,.
asu,,1,e,,,,,,,,,exclamation of finality: 'Enough! Stop! That's it!',exclamation de finalité: 'Assez! Arrêtez! Ça suffit!',,,,.
ata,,1,e,,,,,,,,,ejaculation for quiet such that one can hear: 'Listen!',exhortation à se tenir tranquille pour qu'on puisse entendre: 'Chut! Écoute!',,,,.
ata,ati,1,n,,,,,,,,,bottom,,,,,
ataata,,1,n,,,,,,,,,father,père,,,,.
atailitaq,,1,n,,,,,,,,,woman's dress,robe de femme,,,,.
atajumik,,1,a,,,,,,,,,always,toujours,,,,.
atangiq,,1,v,t,,,,,,,i/1vv,"[-R]to /do, /get s.t. completely, all of them",,,,,
ataniq,,1,n,,,,,,,,,chief,,,,,
atataak,,1,e,,,,,,,,,ejaculation of fear of burning or when touching s.t. hot: 'Ouch! it's hot!',cri de peur de se brûler ou lorsqu'on touche qqch. de chaud: 'Aie! c'est chaud!',,,,.
atausiq,,1,n,,nb,,,,,,,one,,,,,
ati,,1,v,i,,,,,,nil,,to put a garment on (trans.: a garment),"s'habiller, mettre un vêtement (trans.: mettre qqch. - un vêtement)",,,,.
atigi,,1,n,,,,,,,,,inside caribou tunic (with fur inside),,,,,
atii,,1,e,,,,,,,,,exhortation to start: 'Come on! Let's go!',exhortation à partir: 'Allons! Partons!',,,,.
atiq,,1,v,i,,,,,,,,"to leave for the coast, speaking of the caribou","partir pour la côte, en parlant du caribou",,,,.
atiq,,1,n,,,,,,,,,name,nom,,,,.
atiraq,,1,v,i,,,,,,nil,,"to jump over  or across (trans.: s.t., river, pond, etc.)","sauter, traverser (trans.: par-dessus qqch., rivière, mare, etc.)",,,,.
atirtaq,,1,n,,,,,,,,,polar-bear cub,petit de l'ours polaire,,,,.
attatit,,1,n,,,p,,,,,,hinge,gond,,,,
attik,,1,v,i,a,,,,,,,"to be low (in relative position, not in height)",être bas (de façon relative à qqch. plus haut),,,,.
attiq,,1,v,t,,,,,,,si/1vv,to /give s.o. or s.t. a name,,,,,
atungak,,1,n,,,,,,,,,(squareflipper) skin sole of boot,semelle de botte en peau (de phoque barbu),,,,.
atunit,,1,n,,,p,atuni,,,,,each,chaque,,,,.
atuq,,2,v,i,a,,,,,,,to be useful,être utile,,,,.
atuq,,1,v,t,,,,,,,si/1vv,[-R]to /use s.t.,,,,,
aujaq,auja,1,n,,,,,,,,,summer,été,,,,.
auk,,1,v,i,,,,,,,,(1) to melt or thaw (2) to bleed at the nose,(1) fondre (2) saigner du nez,,,,.
auk,,1,n,,,,,,,,,blood,sang,,,,.
aukataak,,1,e,,,,,,,,,exclamation of delight or pleasure on seing s.t. grand or imposing: 'Grand! Magnificient!',exclamation de plaisir ou de ravissement en voyant qqch. de grand ou d'imposant: 'Super!',,,,
aukkanniq,,1,v,i,,,,,,,,to sweat,,,,,
aula,,1,v,t,,,,,,,si/1vv,to /move s.t.,/déplacer qqch.,,,,.
aullaq,,1,v,i,,,,,,,,to leave,,,,,
aulu,,1,v,i,,,,,,,,to concentrate,se concentrer,,,,.
auma,,1,v,i,,,,,,,,to be alight,,,,,
aumajjak,,1,v,i,,,,,,,,to sweat,,,,,
aumak,,1,e,,,,,,,,,ejaculation for one who is tagging in tag game: 'I touched you!',"exclamation de qqn jouant à la ""tag"" qui a touché qqn",,,,.
aumak,,1,n,,,,,,,,,ember,,,,,
aupaq,,1,v,i,a,,,,,,,to be red,être de couleur rouge,,,,.
auq,,1,v,i,,,,,,nil,,to stalk an animal crawling on its belly,traquer un animal rampant,,,,.
aursaaq,,1,v,i,,,,,,,,to swoop down on s.t.,"fondre, piquer sur qqch.",,,,.
auviq,,1,n,,,,,,,,,snow block for building an igloo,bloc de neige pour la construction d'un iglou,,,,.
avaalaqiaq,,1,n,,bot,,,,,,,barren-land dwarf birch,bouleau nain de la toundra,,,,.
avaaq,,1,v,t,,,,,,,si/1vv,to stun /s.o.,,,,,
avaluq,,1,v,i,a,,,,,,,to be mad at s.o.,être fâché contre qqn,,,,.
avata,avati,1,n,,,,,,,,,"the circumference, outer rim, contour, outer limit of s.t.","la circonférence, le contour, le pourtour de qqch.",,,,.
avataq,,1,n,,,,,,,,,inflated skin bag used as a buoy in seal-hunting,sac de peau gonflé utilisé comme bouée lors de la chasse au phoque,,,,.
avik,,1,v,t,res,,,,,,si/1vv,to /divide or /separate s.t.,/diviser ou /séparer qqch.,,,,.
avilurallak,,1,v,i,,,,,,,,"to ring, clang, jangle, give off a metallic sound","sonner, cliqueter, émettre un bruit métallique",,,,.
avinngaq,,1,n,,zoo,,,,,,,lemming,lemming,,,,.
aviu,,1,v,i,,,,,,,,to hoot or shout with joy,"siffler, pousser des cris de joie",,,,.
avu,,1,v,i,,,,,,,,"to call to a mate, speaking of the bull seal",appeler une femelle (le phoque mâle),,,,.
ibjaq,,1,v,i,,,,,,,,to need air,,,,,
ibju,,1,v,i,a,,,,,,,to be thick,être épais,,,,.
ibjuq,,1,v,i,a,,,,,,,"to be mudded, speaking of a sled runner",être couvert de boue (patin de traîneau),,,,.
ibjuq,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to be fussy about s.t. or squeamish over s.t.,être pointilleux à propos de qqch.,,,,
ibjuq,,1,n,,,,,,,,,mud,,,,,
ibjurnait,,1,v,i,a,,,,,,,to be a saint (of the Roman Catholic Church),être un saint (de l'église catholique romaine),,,,.
iblauq,,1,n,,,,,,,,,animal foetus or embryo,foetus ou embryon animal,,,,.
ibluk,,2,v,i,a,,,,,,,to be with slump body or arced legs,,,,,
ibluk,,1,v,i,,,,,,nil,,"to make face, to grimace (trans.: at s.o.)",faire la grimace (trans.: à qqn),,,,.
ibvuq,,1,n,,,,,,,,,broken floe ice,glace de banquise qui s'est brisée,,,,
iga,,1,v,i,,,,,,nil,,to cook (trans.: s.t.),cuire (trans.: qqch.),,,,.
iga,,1,n,,,,,,,,,cook-stove,,,,,
igalaaq,,1,n,,,,,,,,,window,fenêtre,,,,.
igaq,,1,v,i,,,,,,,,to lean one's body on or against s.t.,être accoté sur ou contre qqch.,,,,.
iggak,,1,n,,,,,,,,,eye-glass,,,,,
iggiaq,,1,n,,ana,,,,,,,gullet,,,,,
igimak,,1,n,,,,,,,,,long walrus harpoon,long harpon à morse,,,,.
igit,,1,v,t,,,,,,,si/1vv,[-R]to /throw s.t. out,,,,,
igjuk,,1,n,,ana,,,,,,,testicle,testicule,,,,.
igjuq,,1,v,i,,,,,,,,to have coagulated,avoir coagulé,,,,.
iglaq,,1,v,i,,,,,,,,to laugh,rire,,,,.
igliaq,,1,n,,ana,,,,,,,uterus,,,,,
igliq,,1,n,,,,,,,,,bed,,,,,
iglu,,1,n,,,,,,,,,(1) house,,,,,
igubjaq,,1,n,,,,,,,,,wool,laine,,,,.
igumit,,1,v,t,,,,,,,si/1vv i/1vv,to /take s.t. apart,,,,,
igunaq,,1,v,i,a,,,,,,,to be rotten or high,être pourri ou haut,,,,.
igunaq,,1,n,,,,,,,,,rotten thing,chose pourrie,,,,.
igupsaq,,1,n,,zoo,,,,,,,bee,,,,,
ii,,1,v,t,,,,,,,si/1vv,[-R]to /swallow s.t.,[-R]/avaler qqch.,,,,.
ii,,1,a,,,,,,,,,"yes in  North Baffin, WCHB and Natt.",oui [Terre de Baffin nord,,,,
iiq,,1,e,,,,,,,,,exclamation of distaste or annoyance: 'Yukk!',exclamation de dégoût ou de contrariété: 'Beurk!' ,,,,
iitit,,1,v,i,a,,,,,,,to be stifled or asphyxiated from gas or fumes,être asphyxié par des gaz ou des vapeurs,,,,.
ija,,1,n,,,,,,,,,grooving,rainure,,,,.
ijagat,,1,v,i,a,,,,,,,to be irretrievably lost,être irrémédiablement perdu,,,,.
ijaruvak,,2,n,,ana,,,,,,,eye-ball,globe oculaire,,,,.
ijaruvak,,1,n,,,,,,,,,melting snow which has formed ice crystals in the spring,neige fondante qui a formé des crystaux de glace au printemps,,,,.
iji,,1,n,,,,,,,,,eye,oeil,,,,.
ijiq,,1,v,t,res,,,,,,si/1vv,to /hide s.t.,/cacher qqch.,,,,.
ijjait,,1,v,i,,,,,,,,"to get mild in the winter, speaking of the weather",s'adoucir en hiver (la température),,,,.
ijjaq,,1,n,,,,,,,,,loop on harpoon point,boucle à la pointe d'un harpon,,,,.
ijjuaq,,1,v,i,,,,,,nil,,to mimic or ape s.o.,imiter ou singer (trans.: qqn),,,,.
iju,,1,v,i,,,,,,,,to be dusk or twilight,être le crépuscule,,,,.
ijukkaq,,1,v,i,,,,,,,,to fall off or tumble off some raised position,tomber d'une position debout,,,,.
ijuq,,1,v,i,,,,,,gi/4vv,,"to scoff, jeer, laugh at s.o.","se moquer, rire de qqn",,,,.
ik&i,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to crave for s.t.,avoir un grand besoin de qqch.,,,,.
ikaaq,,1,v,i,,,,,,nil,,to cross s.t. over,traverser qqch.,,,,.
ikajuq,,1,v,i,,,,,,nil,,to help s.o.,aider qqn,,,,.
ikak&ak,,1,n,,,,,,,,,large-tooth rasp file,râpe à larges dents,,,,.
iki,,1,v,i,,,,,,,,to get on board a vehicle,monter à bord d'un véhicule,,,,.
iki,,1,n,,,,,,,,,wound,blessure,,,,.
ikiaq,,1,n,,,,,,,,,in-between layer,couche intermédiaire,,,,.
ikiq,,1,v,i,,,,,,,,"to form cracks, speaking of the ice","former des fissures, en parlant de la glace",,,,.
ikiq,,1,n,,,,,,,,,strait,détroit,,,,.
ikit,,1,v,t,res,,,,,,si/1vv,"(1) to /burn s.t. (2) to /turn s.t. on (a light, a fire)","(1)/brûler qqch. (2)/allumer qqch. (une lumière, un feu)",,,,.
ikkat,,1,v,i,a,,,,,,,to be shallow,être peu profond,,,,.
ikkii,,1,n,,,,,,,,,the cold,le froid,,,,.
ikkiiq,,1,v,i,a,,,,,,,to be cold,avoir froid,,,,.
ikkiq,,1,n,,,,,,,,,gums of the mouth,gencive,,,,.
ikkit,ikkitik,1,n,,,,,,,,,match (for fire or lighting),allumette,,,,.
ikpaksaq,,1,a,,,,,,,,,yesterday,hier,,,,.
ikpat,,1,n,,,,,,,,,platform for oil lamp,plateforme pour lampe à huile,,,,.
ikpik,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,(1) to feel s.t.,,,,,
ikpik,,1,n,,,,,,,,,long rock bluff,long promontoire rocheux,,,,.
iksik,,1,v,i,,,,,,,,to protrude or stick out one's rear end (as in sitting or bending),"faire dépasser, faire sortir son derrière (comme en s'asseyant ou en se penchant)",,,,.
iksiq,,1,v,t,,,,,,,i/1vv,[-R]to /leave s.t. behing,,,,,
iksutit,,1,n,,bot,,,,,,,cassiope (resinous plant used in making fire),plante résineuse utilisée pour faire du feu,,,,.
ikuallaq,,1,v,t,res,,,,,,si/1vv,to /burn s.t. with flame,/brûler qqch. avec une flamme,,,,.
ikuliaq,,1,v,i,a,,,,,,,"to be calm or still, speaking of the water or the sea","être calme, en parlant de l'eau, de la mer",,,,.
ikullaq,,1,v,i,a,,,,,,,"(1) to be better, improved in health (2) to be good weather","(1) se porter mieux, par rapport à la santé (2) faire beau temps",,,,.
ikuma,,1,v,i,,,,,,,,to burn with flame,,,,,
ikuma,,1,n,,,,,,,,,(1) flame,,,,,
ikupik,,1,v,i,,,,,,nil,,to cut a small piece off s.t.,découper un petit morceau de quelque chose,,,,.
ikuqqaq,,1,v,t,,,,,,,si/1vv,"to /put s.t. on a raised platform, pedestal, dais","/mettre qqch. sur un piédestal, sur une plateforme surélevée",,,,.
ikuqqaq,,1,n,,,,,,,,,raised platform,,,,,
ikusik,,1,n,,ana,,,,,,,elbow,coude,,,,.
ila,,1,v,t,,,,,,,ji/1vv,to /mix s.t. with something,,,,,
ila,,1,n,,,,,,,,,(1) relative or relation (2) companion or partner (3) part,,,,,
ilaak,,1,e,,,,,,,,,"marker word for clarification: 'I mean,' ",,,,,
ilaaniq,,1,v,i,,,,,,gi/4vv,,to do s.t. purposefully or with intent,"faire qqch. intentionnellement, dans un but précis",,,,.
ilaanni,,1,a,,,,,,,,,sometimes,quelquefois,,,,.
ilaaq,,1,v,i,,,,,,nil,,(1) to patch (trans.: s.t.) with no overlap (2) to remove chipped ice from fish-hole or water-hole,(1) rapiécer (trans.: qqch.) sans empiètement (2) retirer la glace concassée d'un trou de pêche,,,,.
ilabjuk,,1,v,i,,,,,,gi/4vv,,to feel sorry (trans.: for s.o.),se sentir désolé (trans.: pour qqn),,,,.
ili,,1,v,t,,,,,,,ji/1vv si/1vv,to /put or /place s.t. down,/déposer qqch.,,,,.
iliqi,,1,v,i,,,,,,,,to shake one's head,"secouer, hocher la tête",,,,.
ilira,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to be ashamed of s.t.,avoir honte de qqch.,,,,.
ilit,,1,v,i,,,,,,nil,,to learn (trans.: s.t.),apprendre (trans.: qqch.),,,,.
ilitaq,ilitaaq,1,v,i,,,,,si/3vv,gi/4vv,,to recognize s.o.,reconnaître qqn,,,,.
illa,,1,v,i,a,,,,,,,"to be tangled, matted, twisted","être entortillé, tressé",,,,.
illa,,1,n,,,,,,,,,tangled thing,chose enchevêtrée,,,,.
illiq,,1,n,,,,,,,,,taboo,,,,,
illiri,,1,v,i,,,,,,nil,,"to join, mix (trans.: s.t.) to s.t.","joindre, mélanger (trans.: qqch.) à quelque chose",,,,.
illuuk,illuuq,1,n,,,,,,,,,sling-shot,fronde,,,,.
ilu,,1,n,,,,,,,,,"inside, interior of s.t.",,,,,
ilusiq,,1,n,,,,,,,,,custom,,,,,
imaak,,1,a,,,,,,,,,like this,,,,,
imannak,imanna,1,a,,,,,,,,,like this,,,,,
imaq,,1,v,i,,,,,,,,to bet,,,,,
imaq,,2,n,,,,,,,,,ante or stakes in gambling game,"mise, enjeu dans un jeu de hasard",,,,.
imaq,,1,n,,,,,,,,,water,,,,,
imia,imiaq,1,v,i,,,,,,,,to echo,faire écho,,,,.
imiggiq,,1,v,t,,,,,,,si/1vv,[-R]to /dent s.t.,,,,,
imigluaq,,1,v,i,,,,,,,,to buzz or hum,bourdonner,,,,
imik,,1,v,t,res,,,,,,si/1vv,to /cave s.t. in,,,,,
imingnak,,1,v,i,a,,,,,,,"to be clear, speaking of the weather",être clair (le temps),,,,.
imiq,,1,v,i,,,,,,,,to drink s.t.,boire,,,,.
imiq,,1,n,,,,,,,,,drinking water,eau à boire,,,,.
imiqqutailaq,,1,n,,zoo,,,,,,,tern,,,,,
imiqutak,,1,n,,ana,,,,,,,groin,,,,,
imma,,1,a,,,,,,,,,a long time ago,il y a longtemps,,,,.
immaqaa,,1,a,,,,,,,,,perhaps,peut-être,,,,.
imminik,,1,a,,,,,,,,,"myself, yourself, himself, etc., depending on the subject of the action","moi-même, toi-même, lui-même, selon le sujet  de l'action",,,,.
immuk,,1,n,,,,,,,,,milk,lait,,,,.
imu,,2,v,i,,,,,,,,to bend one's body down to the floor from a kneeling position,se pencher vers le plancher alos qu'on est agenouillé,,,,.
imu,,1,v,t,,,,,,,si/1vv,"to /coil s.t., /roll, /curl s.t. up",/enrouler qqch.,,,,.
inak,,2,v,i,,,,,,,,to go to bed,aller au lit,,,,.
inak,,1,v,i,,,,,,,,to lie on one's side,,,,,
inaluaq,,1,n,,ana,,,,,,,small intestine,petit intestin,,,,.
inaq,,1,v,i,,,,,,,,"to lift one's hind leg, speaking of an animal",lever une patte de derrière (animal),,,,.
ingiaq,,1,v,i,,,,,,nil,,to do s.t. first,faire qqch. en premier,,,,.
ingiq,,1,v,i,,,,,,,,to push one's lower abdomen forward (copulating movement),pousser son bas-ventre vers l'avant (mouvement de copulation),,,,.
ingiq,,1,n,,ana,,,,,,,lower abdomen (immediately above genital organs),bas du ventre (immédiatement au-dessus des parties génitales),,,,.
ingirra,,1,v,i,,,,,,,,to travel,voyager,,,,.
ingit,,1,v,i,,,,,,,,to sit down,s'asseoir,,,,.
ingiulliq,,1,v,i,,,,,,,,"to rise and fall in swells, speaking of the sea",être houleuse (la mer),,,,.
ingnaq,,1,v,t,res,,,,,,si/1vv,[T]to strike the flint against the firestone causing sparks [P]to be made to spark by being struck with flint or flintstone [R]to spark,[T]faire faire des étincelles à une pierre à feu[P]être fait qu'on fait des étincelles[R]faire des étincelles,,,,.
ingnaq,,1,n,,,,,,,,,cigarette lighter,allume-cigarette,,,,.
ingniq,,1,v,i,,,,,,,,"to slip underneath the sled runners, speaking of the line or tongue",glisser sous les patins du traîneau (la corde du traîneau),,,,.
ingniq,,1,n,,,,,,,,,(1) cigarette lighter (2) spark (3) spark plug (4) straight or wick side of a stone lamp,(1) allume-cigarette (2) étincelle (3) bougie d'allumage (4) côté d'une lampe en pierre où se trouve la mèche,,,,.
ingulak,,1,v,t,,,,,,,si/1vv,[-R]to /stir or /mix s.t.,"[-R]/brasser, /mélanger qqch.",,,,.
inguriq,,1,n,,,,,,,,,deerskin or other skin placed on the sled as a seat,,,,,
ini,,1,n,,,,,,,,,(1) place,,,,,
iniq,,1,v,t,,,,,,,si/1vv,"[-R]to /finish, /complete s.t.","[-R]/terminer, /compléter qqch.",,,,.
inirniq,,1,n,,,,,,,,,adult,adulte,,,,.
innaq,,1,n,,,,,,,,,adult,adulte,,,,.
inngiq,,1,v,i,,,,,,,,to sing,chanter,,,,.
innguq,,1,v,t,res,,,,,,i/1vv,to /cave s.t. in,,,,,
innia,,1,v,i,,,,,,,,to go to visit the Inuit,aller visiter les Inuit,,,,.
innit,,1,v,i,,,,,,,,to come across people in travels,,,,,
inuk,,1,n,,,,,,,,,(1) human being,,,,,
ipak,,1,v,i,a,,,,,,,to be grimy,,,,,
ipak,,1,n,,,,,,,,,grain of wood,,,,,
ipgut,,1,n,,,,,,,,,hand wipe or hand wiper,quelque chose pour s'essuyer les mains,,,,.
ipi,,1,v,i,,,,,,,,to choke for air,manquer d'air,,,,.
ipigluk,,1,n,,,,,,,,,"leg-bone of caribou, of deer","os de la patte du caribou, du cerf",,,,.
ipik,,1,v,i,a,,,,,,,to be sharp,"être aiguisé, tranchant",,,,.
ipiksaunnaq,,1,n,,,,,,,,,contents of a walrus stomach,contenu de l'estomac d'un morse,,,,.
ipiq,,1,n,,,,,,,,,"dirt, grimed-in dirt, grime","saleté, crasse",,,,.
ipiqqiq,,1,v,i,,,,,,nil,,"to put a wick in s.t. (lamp, lighter, ...)","mettre une mèche (trans.: dans qqch.: lampe, briquet, ...)",,,,.
ipiraaq,,1,v,i,,,,,,,,to wade in the water,"avancer, marcher dans l'eau",,,,.
ipirak,,1,n,,,,,,,,,wick,,,,,
ipiraq,,1,v,i,,,,,,nil,,to whip (a dog),fouetter (trans.: un chien),,,,.
