morpheme,nb,type,function,position,transitivity,nature,plural,antipassive,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,engMean,freMean,condPrec,condPrecTrans,condOnNext,sources,combination,dialect,mobility
k&i,1,sn,nv,m,i,t,,,,n,,?,?,?,r&i,s,,r&i,s,,there to be less of X; a diminuation of X,y avoir moins de X; une diminution de X,,,,A1,,,m
kaallaq,1,sv,vv,m,n,,,,kaallak,n,,* kaallak,s,,* kaallak,s,,* kaallak,s,,suddenly,soudainement,,,,H1 A1,,,m
kainnaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"brief action: 'for a brief time', 'for a short time'",action brève: 'pour un court laps de temps',,,,H1,,Cumberland,m
kammiq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,recently,récemment,,,,H1,,,m
kasaak,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,incompleteness: 'almost',état incomplet: 'presque',,,,A1,,,m
kasak,1,sv,vv,m,n,,,,kasaaq kasaak,n,,* kasaaq kasaak,s,,* kasaaq kasaak,s,,* kasaaq kasaak,s,,"incompleteness: 'almost'; with a subordinate clause in the past conditional ('if I had...'), a main verb with this suffix takes on a subjunctive meaning ('I would have...')","action incomplète: 'presque'; avec une proposition subordonnée au conditionnel passé ('si j'avais...'), un verbe principal avec ce suffixe prend un sens subjonctif ('j'aurais ...)",,,,H1 A1,,,m
kautigi,1,sv,vv,m,n,,,,tsautigi,n,,* tsautigi,s,,* tsautigi,s,,* tsautigi,s,,(Harper) hastily; quickly; prematurely; (Spalding) simultaneously; at the same time as,(Harper) avec hâte; rapidement; prématurément; (Spalding) en même temps que,,,,H1,,,m
kia,1,q,q,,,,,,kiaq,n,,* kiaq,s,,* kiaq,s,,* kiaq,s,,"uncertainty: 'I wonder', 'I don't know'",incertitude: 'Je me demande'; 'Je ne sais pas',,,,H1,,,m
kisauti,1,sv,vv,m,i,,,,,n,,,s,,,s,,,s,,competition in the action of the verb,compétition dans l'action du verbe,,,number:d number:p,H1,,,m
kit,1,sn,nv,m,i,,,,,n,,,s,,,s,,,s,,to have small ...,"avoir un petit, de petits ...",,,mode:ger,H1,,,m
kkaaluk,1,sv,vn,t,,,,,,n,,,s,,,s,,,s,,"a person who performs very well the action of the verb; if at the end of the word, this suffix may have a verbal meaning in the 3rd person: 'he/she/it/they ... well'",une personne qui accomplit très bien l'action du verbe: 'il/elle/ils/elles ... bien',,,,H1,,,m
kkanniq,1,sv,vv,m,n,,,,kanniq,n,,* kanniq,s,,* kanniq,s,,* kanniq,s,,repetition: 'once again',répétition: 'encore une fois',,,,H1,,,m
kkanniq,1,sn,nn,t,,,,,kanniq,n,,* kanniq,s,,* kanniq,s,,* kanniq,s,,"additionnal, more","additionnel, plus",,,,,,,m
kkaq,2,sv,vv,m,t,,,i/1vv,,n,,,s,,,s,,,s,,to make s.o. do s.t. intentionally,faire intentionnellement faire qqch. à qqn,,,,S1,,,m
kkaq,1,sv,vn,t,,,,,,n,,,s,,,s,,,s,,a person who performs well the action of the verb,une personne qui accomplit bien l'action du verbe,,,,H1,,,m
kkiq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,a person with large body parts,une personne avec de grosses/grandes parties corporelles,,,,H1,,,m
kkut,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,"group, family, people related to","groupe, famille, personnes reliées à",,,,H1 A1,,,m
ksaq,1,sn,nn,t,,,t,,,n,,,s,,,s,,,s,,"material, something which will become or be made into something else; potential for","matériau, quelque chose qui deviendra ou sera utilisé pour quelque chose; potentiel pour",,,,H1 A1,,,m
ksaq,1,sn,nv,m,i,,,,,n,,,s,,,s,,,s,,to gather s.t. to make an object,rassembler ce qu'il faut pour fabriquer un objet,,,,H1 A1,,,m
ksaq,1,sv,vv,m,i,,,,,n,,,s,,,s,,,s,,added to gi-verbs to make them intransitive,ajouté aux verbes 'gi' pour les rendre intransitifs,"type:v,intransinfix:ksaq/1vv",i,,H1,,,m
ksaq,2,sv,vv,m,i,,,,,n,,,s,,,s,,,s,,"to find, consider s.t. or s.o. ...","trouver, considérer qqn ou qqch. ...","type:v,nature:a",,,H1,,,m
ksi,1,sv,vv,m,i,,,,,n,,-,-,,-,-,,-,-,,"added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses","ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs",antipassive:ksi/1vv,t,,,,,m
kulu,1,sn,nn,t,,,,,kuluk,n,,* kuluk,s,,* kuluk,s,,* kuluk,s,,reinforcement of the smallness; endearment: 'sweet little',renforcement de l'idée de petitesse; 'cher petit',,,,H1 A1,,,m
kutaaq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,"tall, long","grand, long",,,,H1,,,m
kutaaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"to be, to do for a long time","être, faire pendant longtemps",,,,S1,,,m
kuvik,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,a place to keep; a container for,un endroit pour garder; un contenant pour,,,,H1,,,m
laaq,3,sv,vn,t,,,,,,n,,,s,,,s,,,s,,superlativeness: 'the one that ... the most',superlativité: 'celui qui ... le plus',,,,H1,,,m
laaq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,diminutiveness: 'small',diminutif: 'petit',,,,H1,,,m
laaq,2,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,far futur,futur éloigné,,,,H1,,,m
lak,1,sv,vv,m,n,,,,,i(r),,,n,,,n,,,n,,a little,un peu,,,,A1,,,m
langa,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"immediately, right now (today)","immédiatement, tout de suite (aujourd'hui)",,,,S1,,,m
lataaq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,genuineness: 'real',"véritable, vrai",,,,H1,,,m
lataaq,2,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"certainty of the action: 'really', 'certainly'","certitude de l'action: 'réellement', 'certainement'",,,,H1,,,m
laukak,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"brief action: 'for a brief time', 'for a short time'",action brève: 'pour un court laps de temps',,,,H1,,North Baffin,m
lauq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,general perceived past; 'before' or 'after' when completed by partitipial endings,passé perçu général; 'avant' ou 'après' lorsque complété avec des terminaisons au mode participe,,,,H1,,,m
lauq,2,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,priority of the command,priorité de l'ordre,,,mode:imp,H1 A1,,,m
lauqsima,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,past indefinite tense,passé indéfini,,,,H1,lauq/1vv+sima/1vv,,m
lauqsimajunniiq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"the action ceased ages ago, a long time ago = to not  have done for a long time",l'action a cessé il y a très longtemps = ne pas avoir fait depuis longtemps,,,,A1,lauq/1vv+sima/1vv+junniiq/1vv,,m
li,4,sv,vv,m,i,,,,-,-,,,s son,,-,-,,-,-,,to do s.t. in this way,faire qqch. de cette manière,id:it/3nv,,,S1,,,m
li,2,sv,vv,m,t,,,ksi/1vv i/1vv,,n,,,s,,,s,,,s,,to make that s.t. or s.o. ... (refl.: to become); to make s.t. (trans.: to s.o.),faire que qqch. ou qqn ... (réfl.: devenir); fabriquer qqch. (trans.: pour qqn),!cp(id:li/4vv),,,H1,,,m
li,1,q,q,,,,,,,n,,,son,,,son,,,son,,but,mais,,,,H1,,,m
li,3,sn,nv,m,i,t,,,,n,,,s,,,s,,,s,,"to build, make something (trans.: for s.o.); with certain words: find s.t.",construire qqch. (trans.: pour qqn); avec certains mots: trouver qqch.,,,,H1,,,m
liaq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,something constructed,quelque chose qui a été construit,,,,H1,,,m
liaq,2,sn,nv,m,i,,,,,n,,siaq *,s i(i),,,s,,,s,,"motion towards: 'to go to'; 'to go hunting' with game-animal nouns, when the hunter knows where to head","mouvement vers; 'aller à, vers'; 'aller chasser' avec des noms d'animaux, lorsque le chasseur sait où aller",,,,H1,,,m
ligaa,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,imminent action: 'to be about to',action imminente: 'être sur le point de',,,,H1,,,m
lijaq,1,sn,nv,m,i,,,,,n,,sijaq *,s i(i),,,s,,,s,,to bring along,apporter avec soi,,,,A1,liq/2nv+jaq/2vv,,m
lik,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,"possession: 'one with' (at the end of the word, it may have a verbal meaning in the 3rd person)","possession: 'quelqu'un avec' (en position finale, il peut prendre un sens verbal à la 3ème personne)",,,,H1,,,m
lik,3,sn,nv,m,t,,,si/1vv,,n,,,s,,,s,,,s,,"to give, to provide, to offer, to fetch s.t. (trans.: to s.o.)","donner, fournir, offrir, aller chercher qqch. (trans.: à qqn)",,,,,,,m
lik,2,sn,nv,m,i,,,,,n,,,s,,,s,,,s,,to go to; to have gone to; to come to; to find by chance,"aller à; rencontrer, trouver par hasard",,,,,,,m
limaaq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,"inclusiveness: 'all of', 'the whole of'; (plur.) every","inclusion: 'tout le', 'l'ensemble de'; (pluriel) chacun de, chaque",,,,H1,,,m
limaaq,2,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,ceaselessly,sans cesse,,,,S1,,,m
liq,3,sn,nv,m,i,,,,,n,,,s,,,s,,,s,,"to go to, toward","aller à, vers",,,,,,,m
liq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,on-going action; present progressive tense,action en cours,,,,H1,,,m
liq,2,sn,nv,m,t,,,i/1vv,,n,,siq,s,,,s,,,s,,"to provide, supply; to put s.t. (trans.: to, on s.o.)","fournir; mettre qqch. (trans.: à, sur qqn)",,,,A1,,,m
liqi,1,sn,nv,m,i,,,,,n,,,?,,,s,,,s,,"to chase, hunt","poursuivre, chasser",,,,A1,,,m
lirai,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,no meaning,aucune signification,,,,H1,liq/1vv+gai/1vv,,m
liri,1,sn,nv,m,i,,,,,n,,* siri,i(i) s,,,s,,,s,,"manipulation: 'to work with, on'","manipulation: 'travailler avec, sur'",,,,H1 A1,,,m
lisaaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"just beginning, in the first stage of, for the fist time; to have just happened","venir juste de commencer à, venir juste d'arriver, pour la première fois, venir seulement de",,,,H1 A1,,,m
lisaq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,container or holder for body parts,contenant ou soutien pour des parties du corps,,,,H1,,,m
litainnaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,at last; finally,enfin; finalement,,,,A1,,,m
liuq,1,sn,nv,m,t,,,ri/1vv,,n,,* tiuq siuq,s n n,,,s,,* jjiuq,s s,,construction in progress: 'to be building s.t.' (trans.: for s.o.),construction en cours: 'être en train de construire qqch.' (trans.: pour qqn),,,,H1,li/2vv+uq/3vv,,m
llaaluk,1,sv,vn,t,,,,,,n,,,s,,,s,,,s,,"exaggeration, largeness, impressiveness of the action",exagération de l'action,,,,H1,,,m
llaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,heavily; clumsily,pesamment; maladroitement,,,,A1,,,m
llarik,1,sv,vv,m,n,,,,larik,n,,* larik,s,,* larik,s,,* larik,s,,"certainty of the action: 'really', 'certainly'","certitude de l'action: 'réellement', 'certainement'",,,,H1,,,m
llarik,2,sn,nn,t,,,,,larik,n,,* larik,s,,* larik,s,,* larik,s,,genuineness: 'real',"véritable, vrai",,,,H1,,,m
lu,1,q,q,,,,,,,n,,,son,,,son,,,son,,and,et,,,,H1,,,m
luaq,2,sn,nn,t,,,,,,n,,,s,,,s,,,s,,exact,exact,,,,H1,,,m
luaq,1,sv,vv,m,n,,,,lluaq,n,,* lluaq,s,,* lluaq,s,,* lluaq,s,,excessive action: 'too much'; 'quite',action excessive: 'trop'; 'tout à fait',,,,H1,,,m
luk,1,sn,nv,m,i,,,,,n,,,s,,,s,,,s,,to have something bad or poor,avoir quelque chose qui est mauvais ou de pauvre qualité,,,,H1,,,m
luk,3,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,to perform an action in a poor or bad manner,accomplir une action d'une mauvaise ou d'une piètre façon,,,,H1,,,m
luk,2,sn,nn,t,,,,,,n,,,s,,,s,,,s,,something bad or poor,quelque chose de mauvais ou de pauvre qualité,,,,H1,,,m
luktaaq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,"inclusiveness: 'all of', 'the whole of'","inclusion: 'tout le', 'l'ensemble de'",,,,A1,,,m
luktaat,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,inclusiveness: 'every',inclusion: 'tous les',,,,A1,,,m
luunniit,1,q,q,,,,,,lunniit,n,,* lunniit,son,,* lunniit,son,,* lunniit,son,,or; even; 'either...or' when used on two words,ou; même; 'ou...ou' lorsqu'utilisé sur deux mots,,,,H1 A1,,,m
ma,1,sv,vv,m,n,,,,uma,n,,* uma,s,,* uma,s,,* uma,s s,,to be in a state of,être dans un état de,,,,H1 A1,,,m
mi,1,sv,vv,m,n,,,,,i(ng),,,a,,,son,,,son,,again,encore; de nouveau,,,mode:imp mode:part mode:caus mode:cond mode:freq mode:dub mode:ger,H1,,,m
miik,1,sv,vn,t,,,,,mii mi,n,,* mii mi,nas,,* mii mi,nas,,* mii mi * mii mi,nas nas nas s s s,,"exclamation: ""Oh! how ...!""","exclamation: ""Oh! comme c'est ...!""",,,,,,,m
miniq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,denotes a former state; unperceived past following gerundive ending,dénote un état antérieur; passé non perçu lorsqu'il suit une terminaison gérondive,,,,H1,,,m
miuq,1,sn,nn,t,,,,,,n,,,nas,,,nas,,,nas,,resident of a place name,résidant d'un nom d'endroit,,,,H1,,,m
miutaq,1,sn,nn,t,,,,,miut,n,,* miut,a i(i),,* miut,nas,,* miut,nas,,resident of; apendage to; contents of,"qui a résidence, qui habite à; qui se porte à",,,,H1,,,m
mmarik,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,genuineness,véritable,,,,H1,,,m
mmarik,2,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"certainty: 'really', 'certainly'","certitude: 'réellement', 'certainement'",,,,H1,,,m
mmiaq,1,sv,vv,m,n,,,,miaq,n,,* miaq,s,,* miaq,s,,* miaq,s,,contituity in the action; repetition of the action,continuité dans l'action; répétition de l'action,,,,S1,,,nm
najaq,1,sv,vv,m,n,,,,gajaq,n,,,a,,gajaq,fus,,rajaq,fus,,action dependent on a condition: 'would',action dépendante d'une condition,,,,H1 A1,,,m
nanngit,1,sv,vv,m,n,,,,,n,,,nas,,,nas,,,nas,,to prevent,empêcher,,,,H1,naq/1vv+nngit/1vv,,m
naq,2,sv,vn,t,,,,,naq nak nak,n i(n) n i(n),,* nak,nas,,* nak,nas,,* nak,nas,,1) exclamation: how...it is! 2) that which causes...,1) exclamation: comme c'est...! 2) qqch. qui cause...,,,,H1,,,nm
naq,1,sv,vv,m,n,,,,naq nak nak,n i(n) n i(n),,* nak,nas,,* nak,nas,,* nak,nas,,causation: 'to cause'; 'to make ...',"cause: 'causer, produire, rendre'",,,,H1,,,m
nasaaq,1,sv,vv,m,n,,,,,n,,,son,,,son,,,son,,late,tard,,,,H1,,,m
nasugi,1,sv,vv,m,t,,,ksi/1vv,,n,,,a,,* gasugi,a fus,,rasugi,fus,,"to think, to be of the the opinion that s.o. (refl.: oneself) ...","penser, avoir l'opnion que qqn (réfl.: soi-même) ...",,,,H1,,,m
nasuk,1,sv,vv,m,n,,,,gasuk gasuaq,n,,* nasuaq,a,,gasuk gasuaq,fus,,rasuk rasuaq,fus,,"endeavouring, striving: 'to be trying'",essayer,,,,H1 A1,,,m
nga,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,to be in a state of,être dans un état de,,,,,,,m
ngaaq,3,sn,nn,t,,,,,,n,,,nas,,,nas,,,nas,,"rather, instead","plutôt, au lieu",,,,H1,,,m
ngaaq,2,sv,vv,m,n,,,,,n,,,nas,,,nas,,,nas,,"to do one action as opposed to an alternative: 'instead'; to do s.t. very much, abundantly","faire une action au lieu d'une autre: 'plutôt', 'au lieu'; faire qqch. beaucoup, abondamment",,,,H1,,,m
ngaaq,1,sn,nv,m,i,,,,-,-,,,nas,,-,-,,-,-,,to come from,venir de,cas:abl,,,H1,,,m
ngau,1,sn,nv,m,i,,,,-,-,,,nas,,-,-,,-,-,,"motion towards; 'towards', 'to'","mouvement vers; 'vers', 'à'",cas:dat,,,H1,,,m
ngu,1,sn,nv,m,i,,,,,n,,,s,,,s,,,s,,"with body parts: illness, soreness: 'to have sore ...'; to be tired in this part; with name of foods: to have a slight envy to vomit that","avec noms de parties du corps: maladie, douleur: 'avoir mal à ...'; avec ce membre fatigué; avec noms de nourriture: avoir une légère envie de le vomir",,,,H1,,,m
nguq,1,sn,nv,m,t,,,i/1vv,nnguq,n,,* nnguq,i(i),,* nnguq,nas,,ruq * nnguq,fus s s,,change of state: 'to become' (trans.: to make s.o. become); with numbers: to tell the time,"changement d'état: 'devenir' (trans.: faire devenir qqn); avec nombres: exprimer l'heure, la date",,,,H1,,,m
nialauq,1,sv,vv,m,n,,,,,n,,,nas,,,nas,,,nas,,'was/were going to'; 'would have ...',"'était/étaient pour, allait/allaient faire qqchose'; 'aurait/auraient ...'",,,,A1,niaq/2vv+lauq/1vv,,m
niaq,2,sv,vv,m,n,,,,,n,,,nas,,,nas,,,nas,,"future, today","futur, aujourd'hui",,,,H1,,,m
niaq,1,sn,nv,m,i,t,,,,n i(n),,,nas,,,nas,,,nas,,to study; to take a great interest in; with animals: to hunt,étudier; avoir un grand intérêt pour; avec animaux: chasser,,,,H1,,,m
niaqqau,1,sv,vv,m,t,,,,,n,,,nas,,,nas,,,nas,,'was/were just going to'; 'would have just now...',"'était/étaient tout juste pour, allait/allaient tout juste faire qqchose'; 'aurait/auraient juste à ce moment...'",,,,A1,niaq/2vv+qqau/1vv,,m
niaqtaksari,1,sv,vv,m,t,,,,,n,,,nas,,,nas,,,nas,,future likelihood or probability: 'will more than likely... ; will probably ...',vraisemblance ou probabilité dans le futur: 'vraisemblablement'; 'probablement',,t,,A1,niaq/2vv+jaq/1vn+ksaq/1nn+gi/1nv,,m
niq,2,sv,vn,t,,,,,,n,,,nas s,,,nas,,,nas,,noun abstraction of the verb's action,nom abstrait de l'action du verbe,,,,H1 A1,,,m
niq,1,sv,vv,m,n,,,,,i(n),,,nas,,,nas,,,nas,,unperceived past with pure verbal forms,passé non perçu avec formes verbales pures,,,,H1,,,m
niqpaq,1,sv,vn,t,,,,,niqpaaq,n,,* niqpaaq,nas,,* niqpaaq,nas,,* niqpaaq,nas,,superlative,superlatif,,,,H1,,,m
niqsaq,1,sv,vn,t,,,,,,n,,,nas,,,nas,,,nas,,comparaison,comparaison,,,,H1,,,m
niraq,1,sv,vv,m,t,,,i/1vv,,n,,,nas,,,nas,,,nas,,reporting action; 'to say that s.o. (refl.: oneself) ...',rapporter une action; 'dire que qqn (réfl.: soi-même) ...',,,,H1,,,m
nitaq,1,sn,nn,t,,,,,,n,,,s n,,,s n,,,s n,,from a certain time,d'il y a longtemps,,,,,,,m
niujaq,1,sv,vv,m,n,,,,niujaaq,n,,* niujaaq,s a,,* niujaaq,s,,* niujaaq,s,,"imminent action: 'to be about to...'; uncertain, doubtful action",action imminente: 'être sur le point de'; action incertaine,,,,H1,,North Baffin,m
niusau,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,imminent action: 'to be about to...',action imminente: 'être sur le point de',,,,H1,,Cumberland,m
niut,1,sv,vn,t,,,,,,n,,,nas,,,nas,,,nas,,something to be used in doing ...,quelque chose à utiliser en faisant ...,,,,H1,,,m
nnajuk,2,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"expresses deprecation or derogation, mild surprise that a person would act or have the nerve to act in a particular manner; sarcasm","exprime la désapprobation ou l'amoindrissement, la légère surprise que quelqu'un agirait ou oserait agir d'une certaine façon; sarcasme",,,,H1,,,m
nnajuk,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,deprecation or derogation; sarcasm,désapprobation ou amoindrissement; sarcasme,,,,,,,m
nngai,1,q,q,,,,,,,n,,,s,,,s,,,s,,"coaxing, inoffensive questioning; greeting","enjolement, question inoffensive; mot d'accueil",,,,H1,,,m
nngaq,1,sn,nv,m,t,,,,-,-,,,nas,,-,-,,-,-,,movement from: 'to come from',mouvement originant de: 'venir de',cas:abl,,,A1,,,m
nngiq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,promiscuous,très libre; peu farouche,,,,H1,,,m
